GENE	TEST_STAT_WEIGHTEDZ	META_PVAL	UKB_CASE_BETA	UKB_CASE_SE	UKB_CASE_PVAL	AMP_NIH_BETA	AMP_NIH_SE	AMP_NIH_PVAL	UKB_SIBLING_PROXY_BETA	UKB_SIBLING_PROXY_SE	UKB_SIBLING_PROXY_PVAL	UKB_PARENT_PROXY_BETA	UKB_PARENT_PROXY_SE	UKB_PARENT_PROXY_PVAL	GNE_BETA	GNE_SE	GNE_PVAL	UKB_CASE_NUMVAR	AMP_NIH_NUMVAR	UKB_SIBLING_PROXY_NUMVAR	UKB_PARENT_PROXY_NUMVAR	GNE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	NTOTAL	META_ANALYSIS_GROUP
ECD	2.9681522396729236	0.0029959590305077386	1.7111	1.01506	0.0918517	NA	NA	NA	NA	NA	NA	0.9747	0.508735	0.055374	0.882518342440177	0.573306360345668	0.123719215446128	2.0	NA	NA	4.0	7.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
SPINK4	2.9538173935838454	0.003138696669075228	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.749688767082974	0.253803355857886	0.0031386966690752	NA	NA	NA	NA	2.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
FLYWCH1	2.936758424137387	0.0033166235494450176	1.02219	1.23519	0.407921	NA	NA	NA	NA	NA	NA	0.968059	0.395712	0.0144303	0.673856807453204	0.371745062728614	0.0698803743089678	3.0	NA	NA	17.0	14.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
LY6K	2.9354628482829033	0.0033305049089437312	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.69839708249393	0.919240754170115	0.0033305049089437	NA	NA	NA	NA	4.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
USP13	2.910664026056153	0.00360661604781899	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.61132224112706	0.897156874771737	0.0036066160478189	NA	NA	NA	NA	6.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
KCNA3	2.8215579821243355	0.004779099739915238	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.92885	0.914481	0.0349244	1.97303286395872	1.04889617777735	0.0599642476389752	NA	NA	NA	5.0	3.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
KIN	2.806766914058083	0.005004143607014746	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.35245640322359	0.481855617026702	0.0050041436070147	NA	NA	NA	NA	8.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
IGFLR1	2.760877841505794	0.005764623384831412	1.47332	1.01217	0.145505	NA	NA	NA	NA	NA	NA	1.13707	0.571498	0.0466317	0.404683734978358	0.302738248886021	0.181306001493002	3.0	NA	NA	7.0	7.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
ING1	2.6961686032346885	0.007014215341954678	0.678852	1.17347	0.562926	NA	NA	NA	NA	NA	NA	1.53514	0.708235	0.0301918	1.30060170852165	0.676043240737701	0.0543741447748026	4.0	NA	NA	7.0	7.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
TOX2	2.694330660905949	0.007053015571577561	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.66582487018333	0.989420084499564	0.0070530155715774	NA	NA	NA	NA	3.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
ANKRD35	2.6913700372967484	0.00711592176560694	NA	NA	NA	0.622617	0.525273	0.23589	NA	NA	NA	NA	NA	NA	0.787903283802311	0.300628770593821	0.0087710527736246	NA	3.0	NA	NA	11.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
ADGRF3	2.6864103492417124	0.007222432729022049	0.358961	0.210479	0.0881109	0.17242	0.2094	0.41028	0.516998	0.282431	0.0671713	0.152198	0.105432	0.148863	0.0390873589231713	0.191554111052373	0.838311397136383	6.0	3.0	5.0	17.0	13.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
FER1L5	2.6816216155770527	0.00732662781441824	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.21105382472761	0.451612493609396	0.0073266278144184	NA	NA	NA	NA	16.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
PRMT2	2.6617244320344113	0.007774149496645693	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.12671154898114	0.798997643552323	0.0077741494966456	NA	NA	NA	NA	5.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
ASPDH	2.650703451132342	0.008032433335630937	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.262857876112	0.853682019822074	0.008032433335631	NA	NA	NA	NA	5.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
CYP2C18	2.636884802061022	0.008367124079129332	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.26139998932976	0.47836749953727	0.0083671240791291	NA	NA	NA	NA	7.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
AQP6	2.612915925039084	0.008977338346068845	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.551258671660413	0.210974515627466	0.008977338346069	NA	NA	NA	NA	3.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
RIPK2	2.6123374362910927	0.008992544781752047	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.92668	1.12033	0.00899228	NA	NA	NA	NA	NA	NA	5.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
OTUD7B	2.610573389580977	0.009039057483489609	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.26615	0.868066	0.00903904	NA	NA	NA	NA	NA	NA	5.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
RAD51B	2.6070619384646507	0.009132283933762392	2.33545	1.2373	0.0590887	NA	NA	NA	-8.71508	70.4475	0.901545	0.86181	0.434159	0.0471435	0.868260027410425	0.59255300721949	0.142842719656024	2.0	NA	2.0	9.0	11.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
TMEM209	2.590845078601993	0.009574058069057527	0.525107	0.262502	0.0454579	NA	NA	NA	NA	NA	NA	0.278223	0.121916	0.0224844	0.164383886063618	0.801891133554697	0.837575823830646	4.0	NA	NA	8.0	8.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
UNC13B	2.5781748647865377	0.009932372138158849	0.969371	0.619847	0.117844	NA	NA	NA	2.14254	0.917318	0.019509	0.0144817	0.366619	0.968491	0.893563807624069	0.734051040312935	0.223488293160634	8.0	NA	5.0	28.0	8.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
NRBF2	2.577097484769445	0.00996338469737064	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.2369	0.867992	0.00996342	NA	NA	NA	NA	NA	NA	6.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
ANXA8	2.572448026557641	0.010098211677057718	0.412578	0.822392	0.615892	NA	NA	NA	1.71465	0.539112	0.00147015	0.251957	0.325769	0.439273	NA	NA	NA	2.0	NA	2.0	4.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
MCMDC2	-2.564215711322576	0.010340925417547712	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.17233652734117	0.847173862069786	0.0103409254175479	NA	NA	NA	NA	13.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
TKTL2	2.5628049829612953	0.010383035107430733	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.655614098914508	0.255818957460022	0.0103830351074306	NA	NA	NA	NA	9.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
OGFOD1	2.5592811793372285	0.010488886584507048	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.47036041100153	0.965255569003666	0.010488886584507	NA	NA	NA	NA	5.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
NECAB3	2.5529161062664683	0.010682522339708062	1.84316	1.43764	0.199816	NA	NA	NA	NA	NA	NA	1.23066	0.528567	0.0198964	NA	NA	NA	2.0	NA	NA	9.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
DCP1B	2.5442319271449616	0.010951834004177983	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.34755501670633	0.922696941131725	0.0109518340041779	NA	NA	NA	NA	4.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
EPB41L4A	2.543587019239521	0.010972072338862727	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.15626562276628	0.454580721642454	0.0109720723388628	NA	NA	NA	NA	13.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
ENTPD1-AS1	2.5383193905467096	0.011138627897289524	0.866587	0.545887	0.112403	1.12678	0.827913	0.173516	0.550962	0.819583	0.501427	0.383693	0.26354	0.145415	NA	NA	NA	11.0	2.0	8.0	28.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
FAM98A	2.537263589390661	0.01117227985470006	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.23135	0.914802	0.178292	2.43855497527881	1.08757071497678	0.0249482164257314	NA	NA	NA	5.0	2.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
LNPK	2.531295775808655	0.011364197403118293	-8.13524	70.4474	0.908065	NA	NA	NA	NA	NA	NA	1.29897	0.505055	0.0101133	2.3228565716243	1.20487935766465	0.0538706987442293	2.0	NA	NA	8.0	3.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
TTC31	2.5311299559617417	0.011369571504132295	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.45530772366683	0.574963652197725	0.0113695715041321	NA	NA	NA	NA	7.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
SP100	-2.527350652429477	0.011492669237739856	NA	NA	NA	-0.604001	0.33706	0.0731379	NA	NA	NA	NA	NA	NA	-0.492003455858637	0.2760582952547	0.0747093231736227	NA	3.0	NA	NA	14.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
ACSBG2	2.5127325096485467	0.01198001321581582	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.87490341827237	0.746161165612734	0.0119800132158156	NA	NA	NA	NA	5.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
EME2	2.512022924597967	0.012004129039885587	1.69001	1.01864	0.0970982	NA	NA	NA	1.74809	1.41637	0.217127	1.11663	0.571357	0.0506605	0.0933740920556126	0.529302883932276	0.859972189911465	3.0	NA	2.0	7.0	8.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
CC2D2B	2.509772222058257	0.012080905965052636	0.866587	0.545887	0.112403	1.12678	0.827913	0.173516	0.550962	0.819583	0.501427	0.331772	0.269027	0.21749	0.164308771700981	0.21674544663111	0.448407556432294	11.0	2.0	8.0	27.0	12.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
LIG1	2.5077880015314906	0.012148953202028478	2.56518	1.23778	0.0382273	NA	NA	NA	1.72649	1.41666	0.222954	0.466291	0.475597	0.326872	0.688167373504452	0.92491312001799	0.456855536372592	3.0	NA	2.0	14.0	5.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
ACTN3	2.5045170556022	0.012261869322951448	0.421361	0.673186	0.531367	0.655476	0.604952	0.278578	1.94327	0.767901	0.0113858	0.0254921	0.349624	0.941875	0.611030731474057	0.47466299513489	0.197991903192103	8.0	6.0	6.0	25.0	17.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
ESPL1	2.503114864375856	0.01231055833366633	1.08888	0.621462	0.0797536	NA	NA	NA	1.21188	0.915798	0.185734	0.058219	0.39174	0.881856	0.89764515728689	0.503677619291842	0.0747195667284524	2.0	NA	2.0	3.0	3.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
RMDN1	2.500737592598618	0.012393496990191846	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.0487749433193	0.819268262844937	0.0123934969901917	NA	NA	NA	NA	6.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
ALG8	2.4996076829164346	0.012433090701433619	NA	NA	NA	0.938969	1.2094	0.437516	NA	NA	NA	NA	NA	NA	1.66839485358398	0.604800595137849	0.0058051910790419	NA	2.0	NA	NA	7.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
SEMG2	2.4968460054577135	0.01253033585820241	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.783128910780153	0.313647261011835	0.0125303358582026	NA	NA	NA	NA	5.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
ANO10	2.4875251304106922	0.012863536504720885	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.58706562994303	0.638009888037193	0.0128635365047211	NA	NA	NA	NA	10.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
CAPRIN2	-2.4855381854981613	0.012935570860956353	NA	NA	NA	-2.07521	0.778597	0.00769153	NA	NA	NA	NA	NA	NA	-0.769750065651893	0.905841935336534	0.395457413684537	NA	2.0	NA	NA	8.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
BCAS4	2.479474955558074	0.013157596984772592	1.10253	0.715606	0.123391	0.956681	0.791909	0.227021	0.70311	0.842121	0.403758	0.334946	0.316486	0.289906	0.680289742612597	0.753987939410745	0.366921174565869	4.0	3.0	2.0	5.0	3.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
APLP2	2.4776379905569796	0.013225525663211292	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.25778	0.646936	0.0518703	2.37601284956207	1.52337969553466	0.118831174187164	NA	NA	NA	8.0	3.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
SPATA22	2.4606889922420723	0.013867051521599161	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.40748734023389	0.978379367658443	0.0138670515215994	NA	NA	NA	NA	3.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
ANGPTL2	2.4531024210087367	0.014163000624259053	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.52827	0.817585	0.0615873	1.97155620381746	1.23225216695282	0.109607092446974	NA	NA	NA	5.0	2.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
DPPA2	2.4516964448118213	0.014218455226792898	1.44778	0.926161	0.118003	NA	NA	NA	NA	NA	NA	1.0879	0.571371	0.0569072	NA	NA	NA	5.0	NA	NA	5.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
RECQL4	-2.446744128686098	0.014415313569841796	-0.275407	0.623057	0.65847	-0.960585	0.829057	0.2466	-0.834892	1.04238	0.423162	-0.41738	0.337809	0.216626	-0.958903366453814	0.522872303138372	0.0666666107120231	12.0	3.0	8.0	26.0	20.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
SSR3	2.440108204271483	0.01468286326154683	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.86812	0.765589	0.014683	NA	NA	NA	NA	NA	NA	4.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
KIF6	2.4360791471867693	0.014847435441741691	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.919625106991549	0.377502146452651	0.0148474354417416	NA	NA	NA	NA	13.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
C1orf94	2.428924449373655	0.015143687633969519	0.833656	0.875599	0.341047	NA	NA	NA	NA	NA	NA	0.645874	0.584692	0.269316	1.1772512690261	0.547486687896851	0.0315328432973661	5.0	NA	NA	8.0	6.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
INSM2	2.428029643228473	0.015181102403204163	NA	NA	NA	NA	NA	NA	1.58515	1.41835	0.263738	1.64008	0.710239	0.0209326	0.698623523448895	0.897195547343511	0.436171330501913	NA	NA	2.0	4.0	4.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
RPL3L	-2.424125728431597	0.015345291764512634	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.251804	0.175603	0.151589	-0.677407552303029	0.339673130859779	0.046120106444151	NA	NA	NA	2.0	6.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
CASTOR3	2.421866539657074	0.015441020223269052	NA	NA	NA	0.966131	0.39892	0.015441	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
