COHORT: AMP_NIH_UKB_ALL_PD_PHENO_META; VARIANT GROUP: ALL_MISSENSE_SNPEFF; MAF: 0.001; NUMVAR >= 4
GENE	TEST_STAT_WEIGHTEDZ	META_PVAL	UKB_ALL_CASES_BETA	UKB_ALL_CASES_SE	UKB_ALL_CASES_PVAL	AMP_NIH_BETA	AMP_NIH_SE	AMP_NIH_PVAL	UKB_ALL_CASES_NUMVAR	AMP_NIH_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	NTOTAL	META_ANALYSIS_GROUP
PHF23	3.3536012039595313	0.0007976723724732598	0.245142	0.12784	0.0551645	0.783414	0.277301	0.00472608	62.0	10.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
STIMATE	3.3404094772047377	0.0008365494728743574	0.415441	0.135496	0.00216889	0.24453	0.147487	0.0973217	42.0	6.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
FLNC	3.318446423789733	0.0009051968569121825	0.156662	0.0450845	0.000511125	0.104104	0.0854615	0.223171	487.0	80.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RAP1A	3.275585177440901	0.001054433124638112	0.902332	0.275472	0.00105443	NA	NA	NA	19.0	NA	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
INSM2	3.26882799258917	0.001079939304950939	0.207881	0.0928834	0.0252157	0.572222	0.239952	0.0170913	97.0	14.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
HP1BP3	3.2687118057419373	0.0010803828215605166	0.263509	0.0970206	0.00660735	0.370528	0.194335	0.0565662	70.0	6.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
MAGT1	3.259496707226656	0.0011161007610322687	0.448422	0.137574	0.00111613	NA	NA	NA	29.0	NA	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ZNF433-AS1	3.2579891028853125	0.001122047149402985	0.268302	0.0701682	0.000131465	0.113089	0.144284	0.433162	159.0	31.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
SYK	-3.22072193612479	0.001278681450442279	-0.55668	0.211845	0.00859459	-0.72115	0.374231	0.0539777	61.0	7.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
LOC101928123	3.216834447416954	0.00129613366709548	0.88259	0.274366	0.00129614	NA	NA	NA	12.0	NA	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
HYDIN	-3.2124046964681523	0.0013162881234871327	-0.0877172	0.0391315	0.024987	-0.182011	0.0790862	0.0213679	621.0	82.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
PRG2	-3.191295436809893	0.001416363689283964	-0.375556	0.15812	0.0175426	-0.625813	0.292704	0.0325134	48.0	12.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
 
COHORT: AMP_NIH_UKB_ALL_PD_PHENO_META; VARIANT GROUP: ALL_LOF_HC_LOFTEE; MAF: 0.001; NUMVAR >= 4
GENE	TEST_STAT_WEIGHTEDZ	META_PVAL	UKB_ALL_CASES_BETA	UKB_ALL_CASES_SE	UKB_ALL_CASES_PVAL	AMP_NIH_BETA	AMP_NIH_SE	AMP_NIH_PVAL	UKB_ALL_CASES_NUMVAR	AMP_NIH_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	NTOTAL	META_ANALYSIS_GROUP
ZSCAN25	3.7913065744830683	0.00014985683444540516	1.18448	0.31242	0.000149851	NA	NA	NA	18.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RHOT1	3.3022983719039405	0.0009589600361495601	1.3322	0.403416	0.000958919	NA	NA	NA	7.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
KIF19	3.2442378229042945	0.0011776537472261684	0.620029	0.191117	0.00117763	NA	NA	NA	18.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
TMEM252	2.8791789498662927	0.003987120239734322	3.15463	1.09567	0.00398718	NA	NA	NA	4.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
OTUD7B	2.8753649999589506	0.004035606802456583	2.10138	0.730822	0.00403557	NA	NA	NA	7.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ACSL6	2.8208754456923315	0.00478927941216278	1.2247	0.434156	0.00478943	NA	NA	NA	10.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
WDR33	2.797363880229102	0.00515214716406633	0.964601	0.344825	0.00515214	NA	NA	NA	7.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RRP1B	2.757461361495823	0.005825209726449335	1.42874	0.518136	0.00582518	NA	NA	NA	10.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ENOX2	2.749914816928237	0.005961075886752556	2.00958	0.730779	0.00596116	NA	NA	NA	9.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
EME2	2.7357614327793423	0.006223612785740429	1.27243	0.46511	0.00622363	NA	NA	NA	8.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
CTSA	2.719285236839447	0.00654231643070564	1.26521	0.465273	0.0065425	NA	NA	NA	14.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
NUP160	2.7110837798553358	0.006706367888836656	1.26086	0.465076	0.00670642	NA	NA	NA	10.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
GLIPR2	2.705015667146954	0.006830116802951334	1.36484	0.504559	0.00682988	NA	NA	NA	5.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
SULT1E1	2.6696140365511605	0.007593848161064065	1.7922	0.671333	0.00759399	NA	NA	NA	4.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
YJEFN3	2.6536904635523166	0.007961682417287516	2.29972	0.866612	0.00796174	NA	NA	NA	6.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RIPK2	2.6185181767853845	0.008831258650151622	2.27036	0.86704	0.00883121	NA	NA	NA	6.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
NRBF2	2.6088576077793246	0.009084503536973893	2.26219	0.867119	0.00908438	NA	NA	NA	6.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
LIPN	2.6050158665976895	0.009187000545331126	1.31428	0.504519	0.0091867	NA	NA	NA	9.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
CPLX3	2.5623940285483773	0.010395330601555607	2.22003	0.866389	0.0103954	NA	NA	NA	4.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
INSM2	2.5594514457492727	0.010483749965752099	1.62109	0.633374	0.0104838	NA	NA	NA	5.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
CDC42BPB	2.5525625299696664	0.010693371296829677	1.4213	0.556813	0.0106933	NA	NA	NA	8.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
GJA8	2.5492507501979196	0.010795464876468586	1.61325	0.632833	0.0107956	NA	NA	NA	7.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RANGAP1	2.5460833133222955	0.01089391846684418	1.61163	0.632984	0.010894	NA	NA	NA	8.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RGP1	2.5320189255263514	0.011340786998302932	1.24905	0.493302	0.0113409	NA	NA	NA	10.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
 
COHORT: AMP_NIH_UKB_ALL_PD_PHENO_META; VARIANT GROUP: ALL_LOF_HC_LOFTEE; MAF: 0.01; NUMVAR >= 4
GENE	TEST_STAT_WEIGHTEDZ	META_PVAL	UKB_ALL_CASES_BETA	UKB_ALL_CASES_SE	UKB_ALL_CASES_PVAL	AMP_NIH_BETA	AMP_NIH_SE	AMP_NIH_PVAL	UKB_ALL_CASES_NUMVAR	AMP_NIH_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	NTOTAL	META_ANALYSIS_GROUP
ZSCAN25	3.7913065744830683	0.00014985683444540516	1.18448	0.31242	0.000149851	NA	NA	NA	18.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RHOT1	3.3022983719039405	0.0009589600361495601	1.3322	0.403416	0.000958919	NA	NA	NA	7.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
TMEM252	2.8791789498662927	0.003987120239734322	3.15463	1.09567	0.00398718	NA	NA	NA	4.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
OTUD7B	2.8753649999589506	0.004035606802456583	2.10138	0.730822	0.00403557	NA	NA	NA	7.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ACSL6	2.8208754456923315	0.00478927941216278	1.2247	0.434156	0.00478943	NA	NA	NA	10.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
WDR33	2.797363880229102	0.00515214716406633	0.964601	0.344825	0.00515214	NA	NA	NA	7.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RRP1B	2.757461361495823	0.005825209726449335	1.42874	0.518136	0.00582518	NA	NA	NA	10.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ENOX2	2.749914816928237	0.005961075886752556	2.00958	0.730779	0.00596116	NA	NA	NA	9.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
KLHL35	-2.740691606192124	0.006131002294306891	-0.311951	0.113822	0.00613098	NA	NA	NA	21.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
EME2	2.7357614327793423	0.006223612785740429	1.27243	0.46511	0.00622363	NA	NA	NA	8.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
NUP160	2.7110837798553358	0.006706367888836656	1.26086	0.465076	0.00670642	NA	NA	NA	10.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
GLIPR2	2.705015667146954	0.006830116802951334	1.36484	0.504559	0.00682988	NA	NA	NA	5.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
FAAH2	2.673967110627887	0.007495980260275774	0.393501	0.14716	0.00749611	NA	NA	NA	6.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
SULT1E1	2.6696140365511605	0.007593848161064065	1.7922	0.671333	0.00759399	NA	NA	NA	4.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
YJEFN3	2.6536904635523166	0.007961682417287516	2.29972	0.866612	0.00796174	NA	NA	NA	6.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
