GENE	TEST_STAT_WEIGHTEDZ	META_PVAL	UKB_ALL_CASES_BETA	UKB_ALL_CASES_SE	UKB_ALL_CASES_PVAL	AMP_NIH_BETA	AMP_NIH_SE	AMP_NIH_PVAL	GNE_BETA	GNE_SE	GNE_PVAL	UKB_ALL_CASES_NUMVAR	AMP_NIH_NUMVAR	GNE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	NTOTAL	META_ANALYSIS_GROUP
CMYA5	2.805211260310229	0.005028361048949248	0.403201	0.19652	0.0401986	NA	NA	NA	0.475197136309135	0.248084718658797	0.0554334644759755	11.0	NA	34.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ALG8	2.758586659796047	0.005805191079041957	NA	NA	NA	NA	NA	NA	1.66839485358398	0.604800595137849	0.0058051910790419	NA	NA	7.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RRP1B	2.757461361495823	0.005825209726449335	1.42874	0.518136	0.00582518	NA	NA	NA	NA	NA	NA	10.0	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ENOX2	2.749914816928237	0.005961075886752556	2.00958	0.730779	0.00596116	NA	NA	NA	NA	NA	NA	9.0	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ECD	2.725050281418556	0.006429169523822502	1.02706	0.443759	0.020643	NA	NA	NA	0.882518342440177	0.573306360345668	0.123719215446128	4.0	NA	7.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
IGFLR1	2.7234835592090465	0.00645974306993269	1.24067	0.493339	0.0119088	NA	NA	NA	0.404683734978358	0.302738248886021	0.181306001493002	8.0	NA	7.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RAD51B	2.7170263151563128	0.006587137012158711	0.929889	0.391175	0.0174462	NA	NA	NA	0.868260027410425	0.59255300721949	0.142842719656024	10.0	NA	11.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ING1	2.711947912139798	0.006688910279520709	1.09031	0.570416	0.0559503	NA	NA	NA	1.30060170852165	0.676043240737701	0.0543741447748026	11.0	NA	7.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
GLIPR2	2.705015667146954	0.006830116802951334	1.36484	0.504559	0.00682988	NA	NA	NA	NA	NA	NA	5.0	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
FER1L5	2.6816216155770527	0.00732662781441824	NA	NA	NA	NA	NA	NA	1.21105382472761	0.451612493609396	0.0073266278144184	NA	NA	16.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
FAAH2	2.6739671106278875	0.007495980260275759	0.393501	0.14716	0.00749611	NA	NA	NA	NA	NA	NA	6.0	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
SULT1E1	2.6696140365511605	0.007593848161064065	1.7922	0.671333	0.00759399	NA	NA	NA	NA	NA	NA	4.0	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
PRMT2	2.6617244320344113	0.007774149496645693	NA	NA	NA	NA	NA	NA	2.12671154898114	0.798997643552323	0.0077741494966456	NA	NA	5.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
PLEKHG1	2.654840450975202	0.007934592741004939	0.878446	0.707745	0.214535	NA	NA	NA	2.37592732725399	0.94533366560107	0.0119600320891666	8.0	NA	6.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
YJEFN3	2.6536904635523166	0.007961682417287516	2.29972	0.866612	0.00796174	NA	NA	NA	NA	NA	NA	6.0	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ASPDH	2.650703451132342	0.008032433335630937	NA	NA	NA	NA	NA	NA	2.262857876112	0.853682019822074	0.008032433335631	NA	NA	5.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
CYP2C18	2.636884802061022	0.008367124079129332	NA	NA	NA	NA	NA	NA	1.26139998932976	0.47836749953727	0.0083671240791291	NA	NA	7.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ANKRD35	2.620851232056049	0.008771052773624641	NA	NA	NA	NA	NA	NA	0.787903283802311	0.300628770593821	0.0087710527736246	NA	NA	11.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RIPK2	2.618518176785385	0.008831258650151608	2.27036	0.86704	0.00883121	NA	NA	NA	NA	NA	NA	6.0	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
NRBF2	2.608857607779324	0.009084503536973902	2.26219	0.867119	0.00908438	NA	NA	NA	NA	NA	NA	6.0	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
MUC16	-2.5950786245892723	0.009456928288525254	-0.620858	0.30464	0.0415497	NA	NA	NA	-0.400447685078324	0.245373878872538	0.102681619867172	43.0	NA	82.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ZBBX	2.5891529765564507	0.00962123422979379	NA	NA	NA	NA	NA	NA	0.53145070249306	0.205260448998222	0.0096212342297936	NA	NA	14.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
MCMDC2	-2.564215711322576	0.010340925417547712	NA	NA	NA	NA	NA	NA	-2.17233652734117	0.847173862069786	0.0103409254175479	NA	NA	13.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
TKTL2	2.5628049829612953	0.010383035107430733	NA	NA	NA	NA	NA	NA	0.655614098914508	0.255818957460022	0.0103830351074306	NA	NA	9.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
CPLX3	2.5623940285483773	0.010395330601555607	2.22003	0.866389	0.0103954	NA	NA	NA	NA	NA	NA	4.0	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
OGFOD1	2.5592811793372285	0.010488886584507048	NA	NA	NA	NA	NA	NA	2.47036041100153	0.965255569003666	0.010488886584507	NA	NA	5.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
CDC42BPB	2.552562529969667	0.01069337129682966	1.4213	0.556813	0.0106933	NA	NA	NA	NA	NA	NA	8.0	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
GJA8	2.5492507501979196	0.010795464876468586	1.61325	0.632833	0.0107956	NA	NA	NA	NA	NA	NA	7.0	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RANGAP1	2.5460833133222955	0.01089391846684418	1.61163	0.632984	0.010894	NA	NA	NA	NA	NA	NA	8.0	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
DCP1B	2.5442319271449616	0.010951834004177983	NA	NA	NA	NA	NA	NA	2.34755501670633	0.922696941131725	0.0109518340041779	NA	NA	4.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
EPB41L4A	2.543587019239521	0.010972072338862727	NA	NA	NA	NA	NA	NA	1.15626562276628	0.454580721642454	0.0109720723388628	NA	NA	13.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
C1orf94	2.538552573700067	0.011131207710336344	0.696107	0.483484	0.149932	NA	NA	NA	1.1772512690261	0.547486687896851	0.0315328432973661	11.0	NA	6.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
WDR33	2.5341642675560636	0.011271587927078731	0.964601	0.344825	0.00515214	NA	NA	NA	0.60580314567543	0.770266039936854	0.431583054272798	7.0	NA	6.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
BPIFB3	2.5311976423511835	0.011367377564872478	1.38835	0.671587	0.0387086	NA	NA	NA	0.469197026423587	0.310236189975395	0.13043556649914	6.0	NA	6.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
TTC31	2.5311299559617417	0.011369571504132295	NA	NA	NA	NA	NA	NA	1.45530772366683	0.574963652197725	0.0113695715041321	NA	NA	7.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
TRAPPC6A	2.528976312194173	0.011439574757858095	1.24763	0.493334	0.0114393	NA	NA	NA	NA	NA	NA	5.0	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
PANX2	2.516418571497775	0.01185542917636425	2.18175	0.867006	0.0118553	NA	NA	NA	NA	NA	NA	5.0	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ACSBG2	2.5127325096485467	0.01198001321581582	NA	NA	NA	NA	NA	NA	1.87490341827237	0.746161165612734	0.0119800132158156	NA	NA	5.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
SUSD2	2.5093631892854753	0.012094905707481346	0.202625	0.299782	0.499099	NA	NA	NA	1.78892450953829	0.622696462437501	0.0040676451049369	19.0	NA	10.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ERV3-1	-2.5091754083323576	0.01210133759850372	NA	NA	NA	NA	NA	NA	-1.15925228151215	0.462005277774745	0.0121013375985041	NA	NA	9.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
AMPD1	2.50598697145232	0.012211011918268613	NA	NA	NA	NA	NA	NA	0.977112021779545	0.38991105417171	0.0122110119182686	NA	NA	10.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
CAPN10	2.5045355190767693	0.012261229345849629	0.344511	0.342771	0.31486	NA	NA	NA	2.09947867433774	0.827585633303507	0.0111847897236652	19.0	NA	6.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RMDN1	2.500737592598618	0.012393496990191846	NA	NA	NA	NA	NA	NA	2.0487749433193	0.819268262844937	0.0123934969901917	NA	NA	6.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
SEMG2	2.4968460054577135	0.01253033585820241	NA	NA	NA	NA	NA	NA	0.783128910780153	0.313647261011835	0.0125303358582026	NA	NA	5.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ANO10	2.4875251304106922	0.012863536504720885	NA	NA	NA	NA	NA	NA	1.58706562994303	0.638009888037193	0.0128635365047211	NA	NA	10.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RAD51AP2	2.479350915055417	0.013162174116517511	NA	NA	NA	NA	NA	NA	0.960962756059185	0.387586424424195	0.0131621741165176	NA	NA	19.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
NBPF4	2.4646622668464153	0.013714245051139523	0.489965	0.198796	0.0137145	NA	NA	NA	NA	NA	NA	5.0	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
GDF9	2.451340673100578	0.014232517932612635	0.551793	0.351376	0.116328	NA	NA	NA	1.25125881053807	0.659827741080307	0.0579148855289338	9.0	NA	7.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
NADSYN1	2.4480624095750048	0.014362677509763298	0.589877	0.391302	0.131689	NA	NA	NA	1.33144212728365	0.681180254747541	0.0506290525512943	12.0	NA	8.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
KIF6	2.4360791471867693	0.014847435441741691	NA	NA	NA	NA	NA	NA	0.919625106991549	0.377502146452651	0.0148474354417416	NA	NA	13.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
USP4	2.429377698506058	0.015124766809207293	0.283839	0.252845	0.261617	NA	NA	NA	1.05260820156118	0.455068209809692	0.0207183586618177	18.0	NA	11.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
C2CD2	2.415112342975578	0.015730357078057818	NA	NA	NA	NA	NA	NA	2.06285397548937	0.85414410699744	0.0157303570780576	NA	NA	7.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
DARS2	-2.4137872976076973	0.015787675783104627	-1.44981	0.724348	0.0453341	NA	NA	NA	-1.22086061716666	0.864587589790735	0.157928527237509	21.0	NA	8.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
NECAB3	2.4096119246364953	0.015969496950358528	1.16651	0.484107	0.0159691	NA	NA	NA	NA	NA	NA	10.0	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
THADA	2.408630024547077	0.016012521310339367	NA	NA	NA	NA	NA	NA	1.02543749743014	0.425734748375465	0.0160125213103393	NA	NA	17.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
AMHR2	2.4038039818141295	0.016225470856112197	1.00298	0.417247	0.0162259	NA	NA	NA	NA	NA	NA	9.0	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
HORMAD2	2.398487970527914	0.016462917229607372	0.499358	0.208197	0.0164627	NA	NA	NA	NA	NA	NA	12.0	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ATF6	2.3906528484240797	0.016818446923299927	NA	NA	NA	NA	NA	NA	1.98747576585668	0.831352727422062	0.0168184469233001	NA	NA	4.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ARHGEF10	-2.3903826870208666	0.016830825169990342	-0.868005	0.521093	0.0957651	NA	NA	NA	-2.52027389754816	1.46974243983302	0.0863869478358105	23.0	NA	11.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ZNF684	2.386181887823789	0.01702432875413442	NA	NA	NA	NA	NA	NA	2.41134013153144	1.01054330511686	0.0170243287541345	NA	NA	4.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
CDRT1	-2.381122988698493	0.017259948283648734	NA	NA	NA	NA	NA	NA	-0.775515840619018	0.325693315422951	0.0172599482836487	NA	NA	8.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
CHMP4A	2.3719488840140674	0.01769453847771414	0.3406	0.143595	0.017694	NA	NA	NA	NA	NA	NA	7.0	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
AMER3	2.3708471798862623	0.017747367359005038	NA	NA	NA	NA	NA	NA	2.41922413517324	1.02040492347942	0.0177473673590053	NA	NA	5.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
