gene_name	Coordinates
ACAA2	18:49782163-49813953
ACACA	17:37084991-37406836
ACACB	12:109116594-109268226
ACAD10	12:111686052-111757107
ACAD11	3:132558137-132660082
ACAD8	11:134253547-134265855
ACAD9	3:128879595-128916067
ACADL	2:210187125-210225447
ACADM	1:75724346-75787575
ACADS	12:120725773-120740008
ACADSB	10:123008978-123058290
ACADVL	17:7217124-7225266
ACAN	15:88803435-88875354
ACAP1	17:7336528-7351477
ACAP2	3:195274744-195443044
ACAP3	1:1292389-1309609
ACAT1	11:108116694-108147603
ACAT2	6:159762044-159779112
ACBD3	1:226144678-226186741
ACBD3-AS1	1:226148002-226155071
ACBD4	17:45132599-45144181
ACBD5	10:27195213-27242130
ACBD6	1:180269652-180502954
ACBD7	10:15075474-15088776
ACBD7-DCLRE1CP1	10:15015071-15088776
ACCS	11:44065924-44084237
ACCSL	11:44047980-44059977
ACD	16:67657511-67660815
ACE	17:63477060-63498380
ACE2	X:15561032-15602148
ACER1	19:6306141-6333612
ACER2	9:19409008-19452505
ACER3	11:76860866-77026797
ACHE	7:100889993-100896974
ACIN1	14:23058563-23095614
ACKR1	1:159203306-159206500
ACKR2	3:42804751-42887974
ACKR3	2:236567786-236582354
ACKR4	3:132597269-132618967
ACLY	17:41866916-41930542
ACMSD	2:134838615-134902034
ACO1	9:32384602-32454769
ACO2	22:41469116-41528989
ACOD1	13:76948510-76958638
ACOT1	14:73537142-73543796
ACOT11	1:54542256-54639192
ACOT12	5:81329995-81394179
ACOT13	6:24667034-24705065
ACOT2	14:73567619-73575658
ACOT4	14:73591705-73596496
ACOT6	14:73610944-73619888
ACOT7	1:6264268-6394391
ACOT8	20:45841720-45857405
ACOT9	X:23701054-23766475
ACOX1	17:75941506-75979177
ACOX2	3:58505135-58537283
ACOX3	4:8366281-8440723
ACOXL	2:110732572-111118222
ACOXL-AS1	2:111098344-111116407
ACP1	2:264139-278283
ACP2	11:47239301-47248906
ACP3	3:132317368-132368298
ACP4	19:50790414-50795219
ACP5	19:11574659-11579008
ACP6	1:147629651-147670524
ACP7	19:39083912-39111493
ACRBP	12:6638074-6647433
ACRV1	11:125671521-125680874
ACSBG1	15:78167467-78245688
ACSBG2	19:6135246-6193094
ACSF2	17:50426157-50474845
ACSF3	16:89088374-89164121
ACSL1	4:184755594-184826818
ACSL3	2:222860941-222944639
ACSL4	X:109624243-109733403
ACSL5	10:112374017-112428380
ACSL6	5:131949972-132012243
ACSM1	16:20623236-20698890
ACSM2A	16:20451460-20487669
ACSM2B	16:20536225-20576427
ACSM3	16:20610242-20797581
ACSM4	12:7304283-7328724
ACSM5	16:20409533-20441336
ACSM6	10:95194199-95228928
ACSS1	20:25006229-25058980
ACSS2	20:34872145-34927962
ACSS3	12:80936413-81261210
ACTA1	1:229431244-229434098
ACTA2	10:88935073-88991339
ACTA2-AS1	10:88932389-88940820
ACTB	7:5527147-5563784
ACTBL2	5:57480017-57482811
ACTC1	15:34790229-34795549
ACTE1P	11:71382601-71423423
ACTG1	17:81509970-81523847
ACTG1P17	15:82725872-82738904
ACTG1P20	1:27325328-27325796
ACTG1P25	1:202861754-202875241
ACTG1P4	1:103569552-103570674
ACTG2	2:73892313-73919865
ACTL10	20:33666497-33668525
ACTL6A	3:179562885-179588407
ACTL6B	7:100643096-100656448
ACTL7A	9:108862265-108863756
ACTL7B	9:108854587-108855986
ACTL8	1:17755332-17827063
ACTL9	19:8697399-8698795
ACTN1	14:68874142-68979440
ACTN1-AS1	14:68979681-68987463
ACTN2	1:236664140-236764631
ACTN3	11:66546394-66563334
ACTR10	14:58200079-58235636
ACTR1A	10:102461880-102502712
ACTR1B	2:97655938-97664044
ACTR2	2:65227752-65271253
ACTR3	2:113890062-113962596
ACTR3-AS1	2:113831182-113890992
ACTR3B	7:152759748-152855378
ACTR3BP2	2:91940667-91942040
ACTR3BP5	10:38696423-38697902
ACTR3C	7:150243915-150323725
ACTR5	20:38748459-38772520
ACTR6	12:100199121-100241865
ACTR8	3:53867065-53882152
ACTRT1	X:128050961-128052398
ACTRT2	1:3021466-3022903
ACTRT3	3:169766920-169769561
ACVR1	2:157736443-157876330
ACVR1B	12:51951698-51997078
ACVR1C	2:157526766-157628864
ACVR2A	2:147844516-147930826
ACVR2B	3:38453889-38493142
ACVR2B-AS1	3:38451026-38454820
ACVRL1	12:51906907-51923361
ACY1	3:51983339-51989197
ACY3	11:67642554-67650730
ACYP1	14:75053236-75069483
ACYP2	2:53970837-54305300
ADA	20:44619521-44652233
ADA2	22:17178789-17258235
ADAD1	4:122378965-122429802
ADAD2	16:84191137-84197168
ADAL	15:43330656-43354555
ADAM10	15:58588808-58749791
ADAM11	17:44758987-44781846
ADAM12	10:126012380-126388455
ADAM15	1:155050565-155062775
ADAM17	2:9488485-9556732
ADAM19	5:157395533-157575775
ADAM20	14:70522357-70535015
ADAM20P1	14:70453540-70483775
ADAM21	14:70452173-70459905
ADAM21P1	14:70245490-70247801
ADAM22	7:87934142-88202889
ADAM23	2:206443531-206621127
ADAM28	8:24294068-24359014
ADAM29	4:174829667-174978180
ADAM30	1:119893532-119896515
ADAM32	8:39106989-39284917
ADAM33	20:3667964-3682246
ADAM3A	8:39451044-39522852
ADAM3B	16:49517761-49518601
ADAM5	8:39314590-39417378
ADAM6	14:105969728-105972269
ADAM7	8:24440929-24526970
ADAM8	10:133262419-133276868
ADAM9	8:38996868-39105261
ADAMDEC1	8:24384284-24406013
ADAMTS1	21:26835754-26845409
ADAMTS10	19:8580239-8610735
ADAMTS12	5:33523534-33892019
ADAMTS14	10:70672505-70762441
ADAMTS15	11:130448973-130476641
ADAMTS16	5:5140329-5320304
ADAMTS17	15:99971436-100342005
ADAMTS18	16:77247812-77435034
ADAMTS19	5:129460280-129738683
ADAMTS19-AS1	5:129424781-129461076
ADAMTS2	5:179110852-179345461
ADAMTS20	12:43353865-43552203
ADAMTS3	4:72280968-72569221
ADAMTS4	1:161184301-161199054
ADAMTS5	21:26917921-26967088
ADAMTS6	5:65148737-65481920
ADAMTS7	15:78759205-78811464
ADAMTS7P1	15:82298552-82334609
ADAMTS8	11:130404922-130428609
ADAMTS9	3:64515653-64688000
ADAMTS9-AS1	3:64561321-64592757
ADAMTS9-AS2	3:64684908-65053439
ADAMTSL1	9:17906562-18910950
ADAMTSL2	9:133532163-133575519
ADAMTSL3	15:83654087-84039842
ADAMTSL4	1:150549368-150560937
ADAMTSL4-AS1	1:150560201-150574552
ADAMTSL5	19:1505021-1513604
ADAP1	7:897899-955407
ADAP2	17:30906343-30959322
ADAR	1:154582056-154628013
ADARB1	21:45073852-45226560
ADARB2	10:1177312-1737525
ADARB2-AS1	10:1526636-1556984
ADAT1	16:75596980-75623300
ADAT2	6:143422831-143450695
ADAT3	19:1905398-1913447
ADCK1	14:77800108-77935014
ADCK2	7:140672944-140696261
ADCY1	7:45574139-45723116
ADCY10	1:167809385-167914215
ADCY10P1	6:41101021-41140835
ADCY2	5:7396137-7830081
ADCY3	2:24819168-24919839
ADCY4	14:24318348-24335093
ADCY5	3:123282295-123449758
ADCY6	12:48766193-48789037
ADCY6-DT	12:48789146-48790535
ADCY7	16:50246136-50318135
ADCY8	8:130780300-131040909
ADCY9	16:3953386-4116442
ADCYAP1	18:904870-912172
ADCYAP1R1	7:31052460-31111479
ADD1	4:2843856-2930076
ADD2	2:70607617-70768225
ADD3	10:109996367-110135565
ADD3-AS1	10:109940103-110008381
ADGB	6:146598966-146815462
ADGRA1	10:133070928-133131675
ADGRA1-AS1	10:133083072-133088491
ADGRA2	8:37784190-37844896
ADGRA3	4:22345070-22516066
ADGRB1	8:142449429-142545009
ADGRB2	1:31727116-31764893
ADGRB3	6:68635281-69389506
ADGRD1	12:130953906-131141469
ADGRD1-AS1	12:130990137-130993976
ADGRE1	19:6887565-6940459
ADGRE2	19:14732391-14778560
ADGRE3	19:14619116-14690027
ADGRE4P	19:6952499-6997872
ADGRE5	19:14380500-14408725
ADGRF1	6:46997707-47042350
ADGRF2	6:47656435-47697797
ADGRF3	2:26308172-26346817
ADGRF4	6:47685863-47722021
ADGRF5	6:46852521-46954943
ADGRF5-AS1	6:46903470-46909078
ADGRG1	16:57610651-57665580
ADGRG2	X:18989306-19122637
ADGRG3	16:57668276-57689378
ADGRG4	X:136300962-136416890
ADGRG5	16:57542642-57591681
ADGRG6	6:142301853-142446266
ADGRG7	3:100609600-100695479
ADGRL1	19:14147742-14206187
ADGRL2	1:81306146-81992436
ADGRL3	4:61201257-62078335
ADGRL3-AS1	4:62071751-62165554
ADGRL4	1:78889763-79282124
ADGRV1	5:90529343-91164437
ADH1A	4:99276368-99291003
ADH1B	4:99304970-99352760
ADH1C	4:99336496-99352746
ADH4	4:99123656-99157792
ADH5	4:99070977-99088801
ADH6	4:99202637-99219537
ADH7	4:99412260-99435737
ADHFE1	8:66432491-66468907
ADI1	2:3497365-3519531
ADIG	20:38581194-38588463
ADIPOQ	3:186842703-186858463
ADIPOQ-AS1	3:186851885-186856123
ADIPOR1	1:202940825-202958572
ADIPOR2	12:1688573-1788674
ADIRF	10:86968431-86983934
ADK	10:74151201-74709963
ADM	11:10305072-10307397
ADM2	22:50481542-50486440
ADM5	19:49688663-49690575
ADNP	20:50888915-50931437
ADNP2	18:80109261-80147523
ADNP-AS1	20:50930983-50945148
ADO	10:62804719-62808479
ADORA1	1:203090653-203167405
ADORA2A	22:24417878-24442357
ADORA2A-AS1	22:24429205-24495074
ADORA2B	17:15944916-15975746
ADORA3	1:111499428-111503633
ADPGK	15:72751368-72785846
ADPGK-AS1	15:72782834-72798199
ADPRH	3:119579267-119589945
ADPRHL1	13:113399609-113453524
ADPRM	17:10697593-10711558
ADPRS	1:36088891-36093932
ADRA1A	8:26748149-26867278
ADRA1B	5:159865079-159973012
ADRA1D	20:4220629-4249287
ADRA2A	10:111077028-111080907
ADRA2B	2:96112875-96116571
ADRA2C	4:3766347-3768526
ADRB1	10:114043865-114046904
ADRB2	5:148825244-148828687
ADRB3	8:37962989-37966599
ADRM1	20:62302092-62308862
ADSL	22:40346499-40390463
ADSS1	14:104724185-104747325
ADSS2	1:244408493-244451909
ADTRP	6:11712053-11807046
AEBP1	7:44104344-44114562
AEBP2	12:19404044-19720801
AEN	15:88621336-88632281
AFAP1	4:7758713-7939926
AFAP1-AS1	4:7754076-7778928
AFAP1L1	5:149271858-149343637
AFAP1L2	10:114294823-114404756
AFDN	6:167826921-167972023
AFDN-DT	6:167822102-167826812
AFF1	4:86935001-87141054
AFF1-AS1	4:86924893-86934850
AFF2	X:148500616-149000663
AFF3	2:99545418-100192428
AFF4	5:132875394-132963634
AFG1L	6:108294990-108526796
AFG3L1P	16:89972585-90002161
AFG3L2	18:12328943-12377227
AFM	4:73481744-73504001
AFMID	17:78187316-78207701
AFP	4:73431137-73456174
AFTPH	2:64524304-64593005
AGA	4:177430773-177442437
AGAP1	2:235494042-236131800
AGAP10P	10:45678691-45700532
AGAP11	10:86970740-87010126
AGAP12P	10:48009872-48031640
AGAP13P	10:46816515-46832476
AGAP14P	10:46337223-46358714
AGAP1-IT1	2:235505750-235507566
AGAP2	12:57723760-57742157
AGAP2-AS1	12:57726270-57728356
AGAP3	7:151085830-151144436
AGAP4	10:45825593-45853875
AGAP5	10:73674284-73698159
AGAP6	10:49982189-50010499
AGAP7P	10:46109620-46131358
AGAP9	10:47501853-47523638
AGBL1	15:86079972-87029052
AGBL1-AS1	15:86295648-86317173
AGBL2	11:47659590-47715389
AGBL3	7:134986507-135147963
AGBL4	1:48532853-50023954
AGBL4-AS1	1:49257410-49269285
AGBL4-IT1	1:49374200-49472085
AGBL5	2:27042363-27070622
AGBL5-AS1	2:27049682-27050264
AGER	6:32180967-32184322
AGFG1	2:227472151-227561214
AGFG2	7:100539202-100568220
AGGF1	5:77029250-77065234
AGL	1:99850360-99924023
AGMAT	1:15571698-15585051
AGMO	7:15200316-15562015
AGO1	1:35869807-35930532
AGO2	8:140520155-140635633
AGO3	1:35930717-36072500
AGO4	1:35808015-35857890
AGPAT2	9:136673142-136687457
AGPAT3	21:43865222-43987592
AGPAT4	6:161129966-161274061
AGPAT4-IT1	6:161160131-161161982
AGPAT5	8:6708641-6761503
AGPS	2:177392756-177559299
AGR2	7:16791810-16833433
AGR3	7:16859411-16881987
AGRN	1:1020119-1056118
AGRP	16:67482570-67483547
AGT	1:230702522-230714122
AGTPBP1	9:85546538-85742029
AGTR1	3:148697783-148743008
AGTR2	X:116170743-116174974
AGTRAP	1:11736083-11754802
AGXT	2:240868823-240880502
AGXT2	5:34998100-35048135
AHCTF1	1:246839097-246931948
AHCTF1P1	2:161500884-161507705
AHCY	20:34280267-34311802
AHCYL1	1:109984764-110023742
AHCYL2	7:129225022-129430211
AHDC1	1:27534034-27604431
AHI1	6:135283531-135497765
AHNAK	11:62433541-62556235
AHNAK2	14:104937243-104978374
AHR	7:16916358-17346152
AHRR	5:321758-435110
AHSA1	14:77457869-77469472
AHSA2P	2:61177417-61191203
AHSG	3:186613059-186621318
AHSP	16:31527899-31528803
AICDA	12:8602169-8612867
AIDA	1:222668012-222713210
AIF1L	9:131096475-131123152
AIFM1	X:130129361-130165887
AIFM2	10:70098222-70132934
AIFM3	22:20965107-20981360
AIG1	6:143060495-143341058
AIM2	1:159062483-159147096
AIMP1	4:106315543-106349456
AIMP2	7:6009254-6023834
AIP	11:67483025-67491103
AIPL1	17:6393692-6435199
AIRE	21:44285837-44298648
AIRN	6:160003290-160007664
AJAP1	1:4654608-4792534
AJM1	9:136844414-136848801
AJUBA	14:22971176-22982551
AK1	9:127866485-127877675
AK2	1:33007939-33080996
AK3	9:4709555-4742043
AK4	1:65147548-65232145
AK5	1:77282018-77559966
AK6	5:69350983-69370013
AK7	14:96392127-96489427
AK8	9:132725577-132878777
AK9	6:109492855-109691217
AKAIN1	18:5142910-5197503
AKAP1	17:57085091-57121346
AKAP10	17:19904301-19978343
AKAP11	13:42272151-42323261
AKAP12	6:151239966-151358559
AKAP13	15:85380570-85749358
AKAP14	X:119895836-119920716
AKAP17A	X:1591603-1602520
AKAP3	12:4615507-4649051
AKAP4	X:50190776-50201007
AKAP5	14:64465498-64474503
AKAP6	14:32329297-32837684
AKAP7	6:131135466-131283535
AKAP8	19:15353384-15379798
AKAP8L	19:15380049-15419141
AKAP9	7:91940861-92110673
AKIP1	11:8911138-8920084
AKIRIN1	1:38991275-39006059
AKIRIN2	6:87674859-87702233
AKNA	9:114334155-114394405
AKNAD1	1:108815897-108963484
AKR1A1	1:45550542-45570049
AKR1B1	7:134442355-134459284
AKR1B10	7:134527566-134541412
AKR1B15	7:134549109-134579875
AKR1C1	10:4963252-4983283
AKR1C2	10:4987399-5018031
AKR1C3	10:5035353-5107686
AKR1C4	10:5195461-5218949
AKR1C6P	10:4871900-4891975
AKR1C8P	10:5154139-5185187
AKR1D1	7:138002323-138118305
AKR1E2	10:4786628-4848062
AKR7A2	1:19303964-19312146
AKR7A2P1	1:112923422-112924337
AKR7A3	1:19282572-19288770
AKR7L	1:19265981-19274194
AKT1	14:104769348-104795751
AKT1S1	19:49869032-49878459
AKT2	19:40230316-40285536
AKTIP	16:53491039-53504411
ALAD	9:113386311-113401290
ALAS1	3:52198085-52214327
ALAS2	X:55009054-55030977
ALB	4:73397113-73421482
ALCAM	3:105366908-105576900
ALDH16A1	19:49453224-49471050
ALDH18A1	10:95605940-95656711
ALDH1A1	9:72900670-73080442
ALDH1A2	15:57953423-58497866
ALDH1A3	15:100877713-100916626
ALDH1B1	9:38392701-38398661
ALDH1L1	3:126103561-126197994
ALDH1L1-AS1	3:126103639-126108069
ALDH1L1-AS2	3:126180011-126210169
ALDH1L2	12:105019783-105107643
ALDH2	12:111766886-111817532
ALDH3A1	17:19737983-19748943
ALDH3A2	17:19648135-19685760
ALDH3B1	11:68008577-68029282
ALDH3B2	11:67662159-67681224
ALDH4A1	1:18871429-18902724
ALDH5A1	6:24494866-24537207
ALDH6A1	14:74056846-74084492
ALDH7A1	5:126531199-126595362
ALDH8A1	6:134917392-134950115
ALDH9A1	1:165662215-165698863
ALDOA	16:30064163-30072207
ALDOB	9:101420559-101449664
ALDOC	17:28573114-28576948
ALG1	16:5033922-5087379
ALG10	12:34022467-34029694
ALG10B	12:38316761-38329721
ALG11	13:52012397-52033600
ALG12	22:49900228-49918438
ALG13	X:111665810-111760649
ALG14	1:94974404-95072951
ALG14-AS1	1:95061595-95067545
ALG1L	3:125929274-125937039
ALG1L2	3:130081830-130113227
ALG1L9P	11:71800540-71804640
ALG2	9:99216424-99221942
ALG3	3:184242300-184249548
ALG5	13:36949737-37000261
ALG6	1:63367574-63438553
ALG8	11:78100935-78139653
ALG9	11:111782194-111871581
ALK	2:29192773-29921586
ALKAL1	8:52534036-52565430
ALKAL2	2:279557-288851
ALKBH1	14:77672403-77708023
ALKBH2	12:109088187-109093631
ALKBH3	11:43880810-43920274
ALKBH3-AS1	11:43909288-43920944
ALKBH4	7:102456237-102464863
ALKBH5	17:18183077-18209954
ALKBH6	19:36009119-36014239
ALKBH7	19:6372793-6375250
ALKBH8	11:107502725-107565746
ALLC	2:3658199-3702671
ALMS1	2:73385757-73625166
ALMS1-IT1	2:73456763-73459482
ALMS1P1	2:73641082-73697509
ALOX12	17:6996048-7010754
ALOX12-AS1	17:6875231-7012530
ALOX12B	17:8072635-8087716
ALOX12P2	17:6853860-6954107
ALOX15	17:4630918-4642294
ALOX15B	17:8039033-8049134
ALOX15P1	17:6657033-6693577
ALOX5	10:45374175-45446119
ALOX5AP	13:30713477-30764426
ALOXE3	17:8095899-8119047
ALPG	2:232406843-232410714
ALPI	2:232456124-232460753
ALPK1	4:112285508-112442621
ALPK2	18:58481246-58629091
ALPK3	15:84816679-84873482
ALPL	1:21509396-21578410
ALPP	2:232378723-232382889
ALS2	2:201700266-201780956
ALS2CL	3:46668994-46693704
ALX1	12:85280219-85301784
ALX3	1:110059869-110070672
ALX4	11:44260439-44310139
ALYREF	17:81887834-81891586
AMACR	5:33986164-34008104
AMBN	4:70592255-70607288
AMBP	9:114060126-114078328
AMBRA1	11:46396413-46594125
AMD1	6:110874769-110898879
AMDHD1	12:95943330-95968720
AMDHD2	16:2520356-2531422
AMELX	X:11293412-11300761
AMELY	Y:6865917-6911774
AMER1	X:64185116-64205708
AMER2	13:25161683-25172288
AMER3	2:130755434-130768134
AMFR	16:56361451-56425545
AMH	19:2249308-2252073
AMHR2	12:53423854-53431672
AMIGO1	1:109504177-109509738
AMIGO2	12:47075706-47079951
AMIGO3	3:49716828-49719684
AMMECR1	X:110194185-110440233
AMMECR1L	2:127861629-127885956
AMN	14:102922662-102933596
AMN1	12:31671141-31729121
AMOT	X:112774502-112840815
AMOTL1	11:94706430-94876748
AMOTL2	3:134355873-134375479
AMPD1	1:114673089-114695618
AMPD2	1:109616103-109632053
AMPD3	11:10308312-10507579
AMPH	7:38383703-38631420
AMT	3:49416777-49422685
AMTN	4:70518568-70532743
AMY1A	1:103655289-103664554
AMY1B	1:103687414-103696680
AMY1C	1:103750405-103758690
AMY2A	1:103616810-103625780
AMY2B	1:103553814-103579534
AMZ1	7:2679521-2775500
AMZ2	17:68247929-68257164
AMZ2P1	17:64966549-64975576
ANAPC1	2:111611638-111884690
ANAPC10	4:144831907-145098541
ANAPC11	17:81890789-81900991
ANAPC13	3:134477705-134486716
ANAPC15	11:72106377-72112780
ANAPC16	10:72215999-72235860
ANAPC1P1	2:86861824-86912978
ANAPC1P2	2:87031814-87052992
ANAPC1P4	2:87700983-87738105
ANAPC1P6	2:106369723-106378247
ANAPC2	9:137174783-137188560
ANAPC4	4:25377212-25418498
ANAPC5	12:121308244-121399896
ANAPC7	12:110372899-110403730
ANG	14:20684176-20698971
ANGEL1	14:76786008-76826246
ANGEL2	1:212992181-213015867
ANGPT1	8:107249481-107498055
ANGPT2	8:6499631-6563409
ANGPT4	20:869899-916334
ANGPTL1	1:178849534-178871077
ANGPTL2	9:127087347-127122635
ANGPTL3	1:62597519-62606313
ANGPTL4	19:8363288-8374370
ANGPTL5	11:101890673-101916522
ANGPTL6	19:10092337-10102796
ANGPTL7	1:11189354-11195981
ANGPTL8	19:11237449-11241943
ANHX	12:133218311-133235877
ANK1	8:41653219-41896762
ANK2	4:112818031-113384221
ANK3	10:60026297-60733490
ANKAR	2:189674289-189761193
ANKDD1A	15:64911901-64958691
ANKDD1B	5:75611181-75681773
ANKEF1	20:9986125-10058303
ANKFN1	17:55882300-56511659
ANKFY1	17:4163820-4263995
ANKH	5:14704799-14871778
ANKHD1	5:140401813-140539856
ANKHD1-EIF4EBP3	5:140401907-140549569
ANKIB1	7:92245973-92401383
ANKK1	11:113387778-113400416
ANKLE1	19:17281644-17287646
ANKLE2	12:132725502-132761832
ANKMY1	2:240479421-240569209
ANKMY2	7:16599778-16645817
ANKRA2	5:73552189-73565667
ANKRD1	10:90912095-90921276
ANKRD10	13:110878539-110915069
ANKRD11	16:89267629-89490561
ANKRD12	18:9136227-9285985
ANKRD13A	12:109999185-110039763
ANKRD13B	17:29589768-29614761
ANKRD13C	1:70258998-70354734
ANKRD13D	11:67289299-67302485
ANKRD16	10:5861615-5889906
ANKRD17	4:73073375-73258798
ANKRD18A	9:38571357-38620596
ANKRD18B	9:33524393-33573009
ANKRD18CP	9:97156569-97221235
ANKRD18DP	3:198053521-198080720
ANKRD19P	9:92809567-92838457
ANKRD2	10:97572498-97583884
ANKRD20A1	9:67832764-67920552
ANKRD20A11P	21:13909573-13980437
ANKRD20A19P	13:23939556-23946782
ANKRD20A4-ANKRD20A20P	9:64369393-64469242
ANKRD20A5P	18:14179096-14252140
ANKRD20A8P	2:94791102-94857282
ANKRD20A9P	13:18816717-18871967
ANKRD22	10:88819895-88851844
ANKRD23	2:96824525-96857934
ANKRD24	19:4183353-4224814
ANKRD26	10:26991913-27100498
ANKRD26P1	16:46469340-46569097
ANKRD26P3	13:19262796-19344973
ANKRD27	19:32597005-32676597
ANKRD28	3:15667235-15859771
ANKRD29	18:23598925-23662911
ANKRD30A	10:37125724-37384111
ANKRD30B	18:14728271-14854038
ANKRD30BL	2:132147590-132257969
ANKRD30BP2	21:13038159-13067033
ANKRD30BP3	10:45156774-45176925
ANKRD31	5:75068274-75236911
ANKRD33	12:51888008-51891727
ANKRD33B	5:10564069-10657816
ANKRD34A	1:145959440-145964575
ANKRD34B	5:80556754-80570280
ANKRD34C	15:79293284-79298235
ANKRD34C-AS1	15:79141938-79283949
ANKRD35	1:145866559-145885866
ANKRD36	2:97113152-97264521
ANKRD36B	2:97492662-97589965
ANKRD36BP1	1:168245564-168247343
ANKRD36BP2	2:88765806-88806612
ANKRD36C	2:95836918-95991831
ANKRD37	4:185396020-185400628
ANKRD39	2:96836610-96858016
ANKRD40	17:50693197-50707914
ANKRD40CL	17:50761028-50767557
ANKRD42	11:83193711-83260694
ANKRD44	2:196967016-197311173
ANKRD44-AS1	2:197197990-197199273
ANKRD44-IT1	2:197250857-197302519
ANKRD45	1:173608335-173669851
ANKRD46	8:100509751-100559784
ANKRD49	11:94493978-94499578
ANKRD50	4:124664047-124712732
ANKRD52	12:56237806-56258384
ANKRD53	2:70978379-70985499
ANKRD54	22:37830854-37849327
