GENE	TEST_STAT_WEIGHTEDZ	META_PVAL	-log10	AMP_NIH_PVAL	GNE_PVAL	UKB_ALL_PVAL	AMP_NIH_NUMVAR	GNE_NUMVAR	UKB_ALL_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
OR56B4	3.178805749123786	0.001478831602763929	2.8300812770877495	0.302081	0.0611867984550657	0.00927583	8.0	37.0	59.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
IGSF9	3.171347632758352	0.0015173344372158392	2.8189186853770853	0.0189265	0.0348183997385051	0.300439	28.0	107.0	232.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
LBX2	3.1455428705357633	0.0016577889654024833	2.7804707554470767	0.117509	0.419366224307551	0.00210226	15.0	34.0	62.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
XKR7	-3.133434975019343	0.0017277319522960898	2.76252363492919	0.000483158	0.580898103462391	0.165971	13.0	44.0	104.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
IPO4	-3.1290869515380306	0.0017535041066817011	2.756093212669782	0.133618	0.775027581507583	0.000279107	27.0	127.0	208.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
TRMT12	3.1264700213649474	0.0017691854117605273	2.752226650366205	0.0331734	0.571415401452678	0.00654289	10.0	41.0	63.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
RNF114	3.117859104451234	0.0018216986860155769	2.7395234549274434	0.750554	0.0002560120421331	0.0392048	6.0	23.0	39.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
ITPK1	-3.1095559415782503	0.0018736879973260006	2.727302725252247	0.0939134	0.328382088329361	0.00626776	17.0	32.0	102.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
DPYSL4	3.097942786488642	0.001948690456112043	2.7102571418362245	0.0145918	0.146747130032951	0.140934	18.0	55.0	150.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
PPIP5K2	3.09071211288195	0.0019967712894907595	2.6996716764414685	0.833882	0.0018724650652228	0.0419727	15.0	57.0	133.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
VIT	3.068452395893063	0.0021517060720395945	2.667217054571454	0.00700623	0.224985071627377	0.160083	22.0	88.0	170.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
TINF2	3.0681241703200435	0.0021540709189431734	2.666740002431415	0.122407	0.187930695344994	0.0141803	11.0	34.0	45.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
SEPTIN5	3.0636358878488514	0.0021866487134348917	2.660220981055054	0.71969	NA	7.07449e-05	5.0	NA	63.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
CREBZF	3.058440870083528	0.0022249198272782872	2.6526856337607834	0.53424	0.122378901257506	0.00174233	4.0	26.0	60.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
TRRAP	3.0533247632558633	0.0022632086067937733	2.6452754139621937	0.819938	0.0109669615330286	0.0118314	32.0	190.0	438.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
MRPL42	3.0337018816376764	0.0024157301929560115	2.6169515726393473	0.392062	0.230537573865835	0.00137588	7.0	12.0	35.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
EVX1-AS	3.0317407463181945	0.0024314793919434563	2.6141294069525456	0.547258	NA	0.000228124	15.0	NA	82.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
RAP1A	3.0304431715527342	0.0024419513625952923	2.612262990336605	NA	0.312443235681033	0.00105443	NA	6.0	19.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
MIER1	3.0259292033790177	0.002478703327732953	2.6057754501739794	0.439898	0.0150672017988916	0.0415564	4.0	29.0	65.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
TKFC	3.02046317447914	0.0025238839749262233	2.5979306138524274	0.00779914	0.114835539179463	0.320159	25.0	46.0	157.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
PNMA3	3.013200734985977	0.0025850786390983578	2.587526240961912	NA	NA	0.00258503	NA	NA	43.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
LIG3	3.0035517140828856	0.0026684819369335163	2.573735732608061	0.00810369	0.963862733139362	0.00932556	15.0	70.0	157.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
SYT17	3.0024424747583507	0.0026782258525417956	2.5721528020899798	0.178066	0.0188460914674949	0.132303	14.0	51.0	92.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
FAM214B	-2.9934389821078056	0.00275852661965972	2.559322820763502	0.0563723	0.207285370196839	0.0438447	20.0	50.0	108.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
USP8	-2.9901966885572273	0.0027879786071412474	2.554710563011673	0.0554132	0.0490107196792827	0.1953	13.0	60.0	132.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
FNDC4	2.986444500133077	0.0028224206447049842	2.549378259872869	NA	0.0510939518405435	0.0230395	NA	17.0	30.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
PARP9	2.967225878983762	0.003005001057933491	2.5221553707645374	0.270396	0.016752720582394	0.09994	26.0	78.0	134.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
ALKBH6	2.960471131615558	0.0030716890771966023	2.5126227466130833	0.0859909	0.0173269928726328	0.302515	6.0	13.0	45.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
C9	2.957557998789774	0.0031008640762213288	2.5085172702801852	0.228632	0.0184812251039378	0.118071	13.0	52.0	79.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
ETNK2	-2.9370881121470367	0.0033130995508042337	2.479765514400142	0.402814	0.0742044138804537	0.0136923	19.0	55.0	83.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
SEPT5-GP1BB	2.935959596240869	0.0033251762942018625	2.4781853243249667	0.71969	NA	0.000148717	5.0	NA	105.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
FRMD3	2.9342283452752116	0.0033437811166300885	2.47576215914898	0.540255	0.126709205536914	0.00325472	12.0	47.0	91.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
GPER1	-2.934064190826007	0.003345550107480225	2.47553246115469	0.320191	0.278993128909639	0.00265313	18.0	69.0	92.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
CPLANE2	-2.9336018403730018	0.0033505371536932246	2.4748855618634233	0.018368	NA	0.073353	11.0	NA	64.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
USP6NL	2.9311569939227904	0.0033770206991824035	2.4714662773826084	0.951505	0.0009441725856261	0.0670898	19.0	66.0	164.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
OR51Q1	2.9228862491247636	0.003468031871693451	2.4599169199510205	0.0108113	0.117132747887622	0.343678	10.0	38.0	66.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
RPL23	-2.916029342217415	0.003545171582683023	2.4503627405629698	0.0403691	0.293653926379519	0.051103	3.0	9.0	20.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
FZD5	-2.9126071668056484	0.0035842518853791625	2.4456014776409547	0.249989	0.0633481568719729	0.0415833	5.0	27.0	56.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
CD27-AS1	-2.9079174474806257	0.0036384437153485953	2.4390843389787773	0.0467491	NA	0.0336835	6.0	NA	49.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
KIF3C	2.9020272927258497	0.0037075623738264214	2.4309115339258063	0.0529764	0.299510472831022	0.0399885	16.0	62.0	112.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
KIF2C	2.8931944815527775	0.0038134508970249985	2.4186818413267637	0.00889171	0.831720665163501	0.00912182	7.0	44.0	104.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
ADRB1	-2.8911414353348612	0.0038384533045189503	2.4158437382961853	0.0262634	0.0607217241183183	0.362933	5.0	16.0	81.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
VPS13D	2.8856061383578475	0.00390660710705643	2.40820026418279	0.969825	0.0382723409953342	0.00387368	77.0	320.0	677.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
WDR92	-2.8787800920740065	0.003992166018963616	2.3987914063574713	0.0453871	0.510972609514499	0.0199217	6.0	25.0	50.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
LAMB3	-2.8709817980815924	0.004091990864084798	2.3880653445791316	0.297825	0.0190276825667688	0.112607	50.0	172.0	283.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
SQSTM1	-2.870064339527505	0.00410388285288397	2.386805044843657	0.940464	0.0100005004393261	0.0135121	23.0	56.0	159.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
DEXI	2.870032360918676	0.004104297920885324	2.386761122384412	NA	0.0125156383561434	0.118387	NA	7.0	17.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
MARC1	-2.8664642607093413	0.004150850242387451	2.3818629351538827	NA	0.0041508502423875	NA	NA	27.0	NA	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
TFG	-2.8632750456520104	0.004192864235786432	2.377489199748439	0.0244002	0.0676578523585333	0.378161	6.0	25.0	59.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
CHSY1	-2.862917189174574	0.004197602548013149	2.37699868518581	0.673053	0.0249294928154982	0.0217753	18.0	68.0	153.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
GPR75	2.8613024239757348	0.004219043827106229	2.3747859631766564	0.385401	0.0195139418205909	0.0797099	11.0	40.0	97.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
NCAPD3	2.8547915975490326	0.004306507769835815	2.3658747648895226	0.264381	0.0036928246409178	0.354823	45.0	145.0	287.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
EPHA5	2.852894180559981	0.004332304528791102	2.363281023301295	0.311255	0.0929175150610957	0.0245398	19.0	52.0	169.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
ZC3H18	2.8514485655556085	0.004352052655102623	2.361305858787318	0.998875	0.0686660326512575	0.00182803	26.0	102.0	200.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
JUP	-2.848737758026395	0.004389304339541231	2.357604305598166	0.182971	0.522065731849281	0.00305306	17.0	72.0	167.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
SYK	-2.8484353896427925	0.004393477326295291	2.3571916105487674	0.100605	0.506731337138803	0.00859459	6.0	36.0	61.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
LOC101928068	-2.846973432847829	0.0044137045652961875	2.3551967400360883	0.0162074	NA	0.104799	7.0	NA	20.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
ZMYND12	2.8373553053858775	0.004548895978879177	2.3420939942131964	0.190853	0.0114039286730106	0.281787	5.0	25.0	61.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
ANKRD6	2.8354819474819375	0.004575660097566401	2.339546244537158	0.553988	0.0098216842882823	0.0823224	23.0	64.0	141.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
CIB2	-2.8353017149942037	0.004578242532830556	2.3393012042608663	0.112652	0.183074187263602	0.0462451	17.0	27.0	59.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
ABCC1	-2.8247301313827156	0.004732045309585088	2.3249511056314756	0.0352345	0.34084183051586	0.066592	38.0	145.0	299.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
OR51B2	2.8210083841354043	0.004787295167744721	2.319909794625671	0.115876	NA	0.0156407	9.0	NA	54.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
CDC26	2.8179199014290974	0.004833586632561165	2.3157304931244505	0.309082	0.0920045527969875	0.0293532	3.0	10.0	14.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
SMR3A	2.8149809173495837	0.0048780130347892935	2.311757043520136	0.352357	0.0172556203487958	0.117714	2.0	12.0	27.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
HLA-DQB2	-2.812187068909138	0.004920587673784452	2.3079830256390905	0.466003	0.0367128968960799	0.0400817	3.0	16.0	49.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
FAM89A	-2.8109036716655207	0.004940257412997972	2.306250421494968	0.0299945	0.158869846878149	0.197196	2.0	9.0	39.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
RBM26	2.808339342258364	0.004979772253638677	2.302790518937015	0.495712	0.0818319958156027	0.0145745	13.0	35.0	129.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
RECK	-2.8021870418114	0.005075743635392901	2.294500321279043	0.112792	0.0995550538954116	0.105072	18.0	59.0	130.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
ITCH	-2.799768974823987	0.005113919181180532	2.291246139713022	0.116914	0.117155874244085	0.0864074	7.0	39.0	73.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
MYH14	-2.7868162620366865	0.005322864983690141	2.2738545497171576	0.157651	0.955984916082175	0.000783111	57.0	184.0	449.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
A2M	-2.7740634485218236	0.005536087981748085	2.2567970165129903	0.12003	0.0132979328404557	0.438644	36.0	121.0	195.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
CELA3B	-2.7739522360447775	0.005537980846598821	2.2566485506184013	0.393721	0.762174014115416	0.000263143	8.0	30.0	55.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
BTRC	-2.772724326553101	0.005558919038574361	2.2550096510840247	0.0168644	0.0347276284359714	0.763165	11.0	33.0	86.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
SMARCD1	-2.7689983758915004	0.005622891551501807	2.2500402926311853	0.0588584	0.424285764175874	0.0350489	6.0	30.0	39.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
PJVK	-2.768876987072644	0.005624986857244978	2.2498784879424045	0.360249	NA	0.00269192	4.0	NA	46.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
RRS1	2.7634436134772757	0.005719497356746106	2.2426421363788998	0.0980934	0.015043885647578	0.483345	9.0	34.0	67.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
SULF1	2.757045909528169	0.00583261618129075	2.2341366016313486	0.989	0.0244330607371469	0.0111209	18.0	73.0	150.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
MAP3K6	-2.7569229204391776	0.0058348103928058	2.2339732521629294	0.0506422	0.0362091526394876	0.4678	36.0	111.0	238.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
IQCF3	2.7567474609506823	0.005837942001094894	2.233740223964237	0.346589	0.0578301678625724	0.0527916	11.0	22.0	49.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
SORCS3	-2.7548948943169957	0.005871099262347409	2.231280576967709	0.161953	0.26808925395394	0.0234757	29.0	90.0	199.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
KRTAP13-4	2.7536305940519297	0.005893825078460057	2.2296027576253645	0.0699137	0.0679129605383634	0.257897	5.0	16.0	39.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
TAAR6	2.742379708891739	0.006099578636122776	2.214700165370768	0.0185719	0.0380615570903069	0.747653	13.0	39.0	75.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
LMNTD1	-2.741464905167572	0.006116589453175157	2.213490668464788	0.195632	0.0089699169258357	0.400315	12.0	35.0	64.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
OR4C13	2.7380167537096862	0.00618109269745352	2.2089347432726503	0.0023841	0.994885759683227	0.0894495	7.0	39.0	70.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
SLC39A11	-2.7362662255990364	0.006214073000568649	2.206623649124508	0.0744559	0.0079448221806007	0.763306	16.0	36.0	74.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
IRS1	2.733260372549076	0.0062710736475889125	2.20265809883338	0.00897089	0.503537393341551	0.146489	27.0	130.0	228.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
LOC100128568	2.728175184056401	0.006368577626657132	2.1959575532017612	0.0715953	NA	0.039731	17.0	NA	104.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
SEMA5A	2.727883572376809	0.0063742101614968055	2.1955736216790873	0.255542	0.011029507270318	0.295524	28.0	101.0	191.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
AQP6	2.7262860856038245	0.006405145538193678	2.1934709977356377	0.0438193	0.0035502751747707	0.834191	18.0	37.0	60.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
SPART	-2.724459429528535	0.00644068428285309	2.191067989087421	0.539074	NA	0.00120055	9.0	NA	102.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
ANKRD29	-2.7193948120360165	0.006540149277094616	2.1844123389114216	0.289962	0.0130511071746524	0.242182	13.0	33.0	62.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
AR	2.716502642976699	0.006597566842265968	2.1806162010957544	NA	NA	0.00659769	NA	NA	69.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
TG	2.71443661754472	0.006638860300199934	2.177906470002067	0.120381	0.0132830348386059	0.501404	101.0	276.0	616.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
TREML1	2.71226613687077	0.006682491652389518	2.175061575081479	0.33677	0.163777802913243	1.99134e-05	9.0	29.0	49.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
EIF3CL	2.7060902376990335	0.006808054355860241	2.166976985479884	NA	NA	0.00680802	NA	NA	7.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
KRTAP4-2	2.705961740629608	0.006810689206303841	2.1668089375219575	NA	0.0545002386528778	0.0569146	NA	12.0	29.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
ZNF600	2.7028352909471405	0.006875080530443727	2.16272221041079	0.416646	0.261716562648883	0.00601701	13.0	63.0	126.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
ELN	2.7027882708768343	0.006876053101077276	2.162660778085073	0.0874368	0.0265463098548336	0.45075	29.0	73.0	164.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
USP25	2.696152719072974	0.007014549844759684	2.1540001943732965	0.779995	0.108155520796869	0.00536918	14.0	66.0	145.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
PXT1	2.6927856183971532	0.007085781468496892	2.1496122458060327	0.152324	0.0629348838540736	0.169744	4.0	5.0	15.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
RABGGTB	2.6924458205968356	0.007093005908384147	2.149169678389512	NA	0.113029456232771	0.0262174	NA	15.0	33.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
ZNF414	-2.681021251549048	0.0073397854548306034	2.1343166345178477	0.10411	0.0358205961372324	0.357856	8.0	27.0	80.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
DDX51	2.6750186494287065	0.007472509327718613	2.1265335341710245	0.505444	0.0028843484991768	0.323387	34.0	87.0	187.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
KIAA1211	2.6743533775241795	0.00748735089674325	2.1256718130655905	NA	0.0074873508967432	NA	NA	119.0	NA	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
