COHORT: META-GROUP3; APPROACH: RESULTS_WEIGHTEDZ_CMCWALD; VARIANT GROUP: ALL_MISSENSE_SNPEFF; MAF: 0.001; NUMVAR >= 2
GENE	TEST_STAT_WEIGHTEDZ	META_PVAL	-log10	AMP_NIH_PVAL	GNE_PVAL	UKB_CASE_PVAL	UKB_SIBLING_PROXY_PVAL	UKB_PARENT_PROXY_PVAL	AMP_NIH_NUMVAR	GNE_NUMVAR	UKB_CASE_NUMVAR	UKB_SIBLING_PROXY_NUMVAR	UKB_PARENT_PROXY_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
USP25	3.4690512486652607	0.0005222998120249344	3.2820801304650327	0.779995	0.108155520796869	0.365403	0.00371097	0.0389881	14.0	66.0	48.0	27.0	120.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
H2BC21	3.4590261805701434	0.0005421322056948432	3.265894792424069	0.00635946	NA	0.404665	0.825668	0.00171363	2.0	NA	2.0	4.0	11.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
KIF2C	3.440468689597522	0.0005807076218441152	3.2360424737718794	0.00889171	0.831720665163501	0.00665668	0.296609	0.125488	7.0	44.0	33.0	20.0	85.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
FDFT1	-3.411070623174675	0.0006470832880434652	3.1890398163796587	0.215035	0.0735459504879885	0.0884479	0.186381	0.115693	10.0	67.0	43.0	32.0	126.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
RIPOR2	3.3706397482070574	0.000749938579334732	3.124974304272714	0.0018959	NA	0.250476	0.0608402	0.540963	28.0	NA	44.0	35.0	139.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
TRRAP	3.348437569491898	0.0008126858832079431	3.0900772841110062	0.819938	0.0109669615330286	0.458521	0.0275569	0.0765381	32.0	190.0	116.0	92.0	372.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
CEP85L	3.3451254000452626	0.0008224537571590271	3.084888511098644	0.0609427	0.893738259963688	0.0305296	0.0253088	0.283437	17.0	56.0	39.0	25.0	121.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
ENDOU	-3.3282836506454023	0.0008738284671633331	3.0585738111593312	0.0169943	0.112827256736117	0.248625	0.940444	0.0249996	13.0	35.0	21.0	18.0	60.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
USP6NL	3.3030010030535184	0.000956560456812829	3.0192875763628058	0.951505	0.0009441725856261	0.0240822	0.288184	0.411096	19.0	66.0	42.0	40.0	145.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
RAP1A	3.3028746991405447	0.0009569913911460059	3.019091969009574	NA	0.312443235681033	0.00861221	0.482481	0.0234364	NA	6.0	7.0	3.0	15.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
ZNF777	3.3019744878008512	0.0009600680199140729	3.017697996515794	0.760909	0.322945500168009	0.0254147	0.0158835	0.0401028	12.0	56.0	28.0	20.0	99.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
NOP53	3.2952729961530025	0.0009832610836239834	3.007331149388487	0.0125628	NA	0.00970228	0.640576	0.0482396	28.0	NA	47.0	34.0	119.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
C11orf63	3.2735006100423565	0.0010622416134898967	2.9737766890258692	NA	0.0010622416134898	NA	NA	NA	NA	68.0	NA	NA	NA	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
GPER1	-3.238591472190966	0.0012012149531174527	2.9203792701993496	0.320191	0.278993128909639	0.120626	0.117286	0.0406935	18.0	69.0	26.0	32.0	83.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
SMIM19	3.2204510708430027	0.0012798903875435902	2.89282722263601	0.106639	0.222699310182292	0.393948	0.14834	0.0384169	3.0	9.0	6.0	5.0	14.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
OR4C13	3.218323505576037	0.0012894229798453489	2.8896045941442257	0.0023841	0.994885759683227	0.12733	0.0332487	0.618111	7.0	39.0	24.0	16.0	60.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
SYT17	3.2160090745632375	0.0012998672176361456	2.886101008918671	0.178066	0.0188460914674949	0.171202	0.17515	0.440276	14.0	51.0	26.0	25.0	80.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
RNF114	3.1788338655237216	0.001478688169584723	2.830123401734815	0.750554	0.0002560120421331	0.0912124	0.379046	0.2297	6.0	23.0	12.0	9.0	34.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
PPIP5K2	3.1752270611280773	0.0014971929619315932	2.8247222231028046	0.833882	0.0018724650652228	0.0426705	0.835654	0.122063	15.0	57.0	32.0	23.0	115.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
DSEL	3.166599005423782	0.0015423283440298564	2.8118231601238977	0.0124232	0.030819045993025	0.00142626	0.651404	0.751983	22.0	77.0	61.0	39.0	166.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
C9	3.1530641215682804	0.0016156631318387702	2.7916491851668614	0.228632	0.0184812251039378	0.870548	0.0118223	0.417726	13.0	52.0	20.0	18.0	69.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
VPS13D	3.1527016042226816	0.0016176707436174355	2.7911098688680136	0.969825	0.0382723409953342	0.794115	0.0257428	0.0143314	77.0	320.0	200.0	145.0	581.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
IGSF9	3.1386572580068632	0.001697238377365215	2.770257156678279	0.0189265	0.0348183997385051	0.212962	0.508111	0.513389	28.0	107.0	73.0	43.0	206.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
OR56B4	3.1364765608836898	0.0017099110413325513	2.767026483329105	0.302081	0.0611867984550657	0.394281	0.0227385	0.00728935	8.0	37.0	21.0	14.0	52.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
BOLA1	3.101548747388261	0.0019251117278196042	2.715544060250316	0.180798	0.0013173145056984	0.173267	0.886168	0.243549	3.0	15.0	8.0	4.0	23.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
EVX1	3.0830035076494693	0.00204922739528792	2.688409846850525	0.547258	0.95273509156683	0.0263825	0.165757	0.00605665	15.0	37.0	31.0	20.0	56.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
ZNHIT6	3.0492738085893807	0.002293953026843404	2.639415479369177	0.0135548	0.865040133238752	0.306275	0.027891	0.338219	12.0	46.0	17.0	14.0	53.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
ADAMTS18	-3.0449951465503515	0.0023268406482152993	2.633233357998387	0.520113	0.678109118034604	0.0367746	0.0638206	0.0704643	39.0	129.0	92.0	74.0	258.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
TMEM9B	3.0436410339489512	0.0023373385412510926	2.6312783796278714	0.953191	0.0010257315461657	0.027599	0.0741663	0.683706	2.0	18.0	5.0	7.0	22.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
ZFR	3.032485615985043	0.0024254865669191693	2.615201126285922	0.173717	0.346037113834482	0.0220728	0.0292405	0.992949	5.0	42.0	20.0	13.0	77.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
PRKCH	2.9931930477714617	0.002760750609614494	2.558972823262989	0.116058	0.370575427012517	0.643948	0.000269471	0.903809	8.0	37.0	23.0	20.0	78.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
ABCC1	-2.980594981509228	0.002876890070013118	2.541076732791228	0.0352345	0.34084183051586	0.220208	0.182454	0.294897	38.0	145.0	101.0	60.0	264.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
DLX6-AS1	2.9759345720832973	0.0029209717295353784	2.534472646301425	0.411605	NA	0.024048	0.150576	0.150736	7.0	NA	22.0	11.0	51.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
TAAR6	2.9750473303604363	0.0029294334554958545	2.5332163629028175	0.0185719	0.0380615570903069	0.0712393	0.236322	0.444884	13.0	39.0	25.0	15.0	69.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
TREML1	2.970573029165346	0.0029724472326599525	2.5268858463032204	0.33677	0.163777802913243	0.588336	0.00675628	5.27448e-05	9.0	29.0	14.0	6.0	43.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
CCDC69	2.9699624300176444	0.002978361716676672	2.526022559096582	0.1878	0.618520705833569	0.0122642	0.504797	0.0980132	17.0	41.0	26.0	19.0	64.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
CDKN2C	2.967572321954027	0.0030016165849830003	2.5226447836652683	NA	0.758081379109401	0.0615078	0.024138	0.132994	NA	9.0	6.0	4.0	19.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
HLA-DQB2	-2.9631561989402164	0.003045020073808101	2.5164098400047172	0.466003	0.0367128968960799	0.055652	0.436949	0.264091	3.0	16.0	21.0	7.0	43.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
DISC1	-2.942294158205997	0.003257902958112123	2.4870618559956146	0.250725	0.47715028336122	0.0234686	0.0467746	0.641483	29.0	87.0	50.0	33.0	149.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
CDC26	2.9366513990356284	0.0033177682627133246	2.479153951566501	0.309082	0.0920045527969875	0.0188055	0.896397	0.099899	3.0	10.0	5.0	4.0	13.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
CREBZF	2.9350067463908256	0.003335404360579124	2.476851507797556	0.53424	0.122378901257506	0.963502	0.209636	0.00196059	4.0	26.0	11.0	16.0	48.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
FAM214B	-2.9263727287953807	0.0034293979200957082	2.464782119879105	0.0563723	0.207285370196839	0.503656	0.27392	0.107066	20.0	50.0	33.0	25.0	92.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
LINS1	2.9190202464269754	0.0035113341719635854	2.454527836973372	0.362717	0.927670730814315	0.989126	0.000892908	0.0285056	17.0	71.0	43.0	19.0	94.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
FAM186B	2.914666767177107	0.003560685130392628	2.4484664290718903	0.0301275	0.0013922024979948	0.729948	0.418761	0.999167	29.0	81.0	48.0	33.0	125.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
SERINC1	-2.9131492589630383	0.003578035335838969	2.4463553747568794	0.0612592	0.913221409508689	0.0310923	0.410901	0.0762041	7.0	34.0	20.0	8.0	46.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
DYSF	2.9114539190244475	0.0035975096782257274	2.4439980290259995	0.0720005	0.969702354746199	0.00619166	0.633916	0.124684	69.0	190.0	160.0	117.0	386.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
TSNAX-DISC1	-2.908869413671211	0.003627383413633601	2.4404065371615618	0.234799	0.410024053093594	0.0609929	0.0240826	0.716512	30.0	13.0	57.0	39.0	174.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
KCTD20	-2.9087134459729094	0.0036291934080989476	2.440189886626692	0.0202996	0.0222611524641467	0.809543	0.74237	0.184277	8.0	29.0	23.0	16.0	54.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
NPRL3	2.899838825314512	0.003733545844339592	2.4278785115859	0.219101	0.0003915666431376	0.932536	0.286148	0.576608	25.0	66.0	43.0	37.0	147.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
FAM163B	2.892912282951169	0.0038168787729983633	2.4182916333581934	0.187239	0.0428875769024872	0.916574	0.753534	0.0035463	4.0	24.0	14.0	15.0	46.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
SMR3A	2.8866860420608895	0.00389322502665126	2.409690493531117	0.352357	0.0172556203487958	0.0316806	0.9687	0.300947	2.0	12.0	6.0	5.0	26.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
TEX12	2.879310606376953	0.003985455981123508	2.399521983237274	0.679474	0.441914611112861	0.0144456	0.169412	0.150972	2.0	5.0	5.0	4.0	17.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
ITPK1	-2.8774883208347353	0.004008547483883441	2.397012967532125	0.0939134	0.328382088329361	0.78628	0.401243	0.00755733	17.0	32.0	40.0	29.0	84.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
EP400	2.8754719915905254	0.004034239358175043	2.3942383379401257	0.062221	0.0963055962457143	0.00801166	0.244188	0.360629	62.0	295.0	175.0	118.0	488.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
MARC1	-2.8664642607093413	0.004150850242387451	2.3818629351538827	NA	0.0041508502423875	NA	NA	NA	NA	27.0	NA	NA	NA	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
LOC101928961	2.8620766221700107	0.004208751452727746	2.3758467206991245	0.178276	NA	0.0116544	0.0881761	0.880338	5.0	NA	10.0	6.0	48.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
LIG3	2.858701001935093	0.004253795207193734	2.3712234224085162	0.00810369	0.963862733139362	0.329338	0.871155	0.00291481	15.0	70.0	43.0	26.0	143.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
CELA3B	-2.8575767823568774	0.004268893390521165	2.3696846909413116	0.393721	0.762174014115416	0.19015	0.570005	0.00079066	8.0	30.0	26.0	18.0	49.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
LOC102724084	2.8538881764138653	0.004318773014348135	2.364639620959812	0.0835613	NA	0.178875	0.0561649	0.469427	5.0	NA	10.0	4.0	20.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
DEXI	2.8533271220814203	0.0043264060695381	2.3638727208000097	NA	0.0125156383561434	0.883181	0.0644366	0.131764	NA	7.0	5.0	2.0	16.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
GALR3	-2.8459480067202203	0.004427942404929361	2.353798036705699	0.020332	0.827477654929623	0.277534	0.186247	0.156195	7.0	11.0	22.0	13.0	67.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
NOXO1	2.8446887033719874	0.0044454845240176405	2.352080897317081	0.951784	0.618821524216801	0.147878	0.0018703	0.212848	16.0	44.0	29.0	22.0	82.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
ETNK2	-2.8440583845557326	0.004454288505715877	2.35122165699606	0.402814	0.0742044138804537	0.287261	0.717953	0.0207661	19.0	55.0	27.0	19.0	69.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
BMP1	2.8327914156686274	0.004614348487631711	2.3358896095244424	0.441884	0.778076688314385	0.668723	0.000389904	0.190619	25.0	93.0	59.0	42.0	163.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
COG5	-2.8322073816141624	0.004622785612701903	2.335096247029039	0.0856322	0.57397737355877	0.29551	0.150411	0.116948	17.0	79.0	45.0	46.0	156.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
SEMA4G	-2.8296551574333404	0.004659819934929822	2.331630865021861	0.00884544	0.126709581613331	0.5357	0.11751	0.216407	26.0	90.0	62.0	50.0	168.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
MCRS1	2.8273154323739598	0.004694006557609015	2.328456308020038	0.226027	0.260178015240234	0.143619	0.0860411	0.420052	6.0	41.0	18.0	9.0	59.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
ARSB	2.8251405552316164	0.004725987978712785	2.325507387397967	0.00902647	0.503232762039868	0.73736	0.022538	0.674329	14.0	36.0	24.0	23.0	87.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
ZNF433-AS1	2.8092472255421908	0.0049657497301647535	2.3040151723262294	0.912843	NA	0.235661	0.128965	0.00249577	28.0	NA	57.0	34.0	135.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
RAMAC	2.8062878614677444	0.00501158993562776	2.3000244715924496	0.121649	NA	0.25253	0.087535	0.225546	3.0	NA	8.0	6.0	19.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
DDX51	2.804605973563047	0.0050378123734031634	2.2977580112549463	0.505444	0.0028843484991768	0.710864	0.00631872	0.790648	34.0	87.0	58.0	49.0	160.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
MRPL42	2.8011476597906113	0.005092121334323603	2.2931012565895923	0.392062	0.230537573865835	0.508458	0.733538	0.0013411	7.0	12.0	14.0	7.0	33.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
ATP8B2	2.7929068002906465	0.005223673993030297	2.282023934995995	0.165826	0.0286438527755737	0.370536	0.816674	0.0447081	21.0	81.0	43.0	34.0	148.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
ANKRD6	2.7906755887318746	0.00525981618865362	2.2790294325854776	0.553988	0.0098216842882823	0.34148	0.278598	0.302271	23.0	64.0	46.0	36.0	125.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
FRMD3	2.783356819117264	0.005379960257710275	2.2692209324973422	0.540255	0.126709205536914	0.368454	0.750277	0.00415052	12.0	47.0	33.0	24.0	73.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
DDX56	2.7773840002791204	0.0054798396225665515	2.2612321517443883	0.0514427	0.345832552058592	0.486359	0.0527578	0.492118	14.0	54.0	39.0	25.0	100.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
MYH14	-2.773714160413645	0.005542034918397393	2.2563307422095917	0.157651	0.955984916082175	0.545727	0.249251	0.00290462	57.0	184.0	133.0	102.0	385.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
A2M	-2.7709837114015983	0.005588722245564782	2.252687473890272	0.12003	0.0132979328404557	0.466763	0.236204	0.799891	36.0	121.0	51.0	33.0	175.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
LAT	2.7709470044379825	0.005589352299798334	2.252638515713063	0.546265	0.0005253972822846	0.931685	0.528156	0.00757858	11.0	24.0	20.0	10.0	47.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
DLX6	2.7674410135073373	0.005649826861670666	2.2479648608837763	0.411605	0.813186629841496	0.024048	0.150576	0.150736	7.0	11.0	22.0	11.0	51.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
SULF1	2.7639773105408842	0.005710150974446493	2.2433524090042005	0.989	0.0244330607371469	0.496441	0.572098	0.00695686	18.0	73.0	47.0	35.0	128.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
IL21R-AS1	2.7634499273996926	0.005719386703433649	2.2426505386186206	0.158736	NA	0.308583	0.0676445	0.203376	7.0	NA	12.0	10.0	37.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
RABGGTB	2.7604502397465915	0.005772175049451719	2.2386605067784435	NA	0.113029456232771	0.0202315	0.920122	0.0864482	NA	15.0	10.0	3.0	28.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
XPNPEP1	2.748399478719432	0.005988699492730876	2.2226674788548624	0.556854	0.0003202538026636	0.459382	0.165584	0.189157	6.0	49.0	22.0	13.0	75.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
MMP8	2.7483048544705233	0.005990428249653079	2.222542129227874	0.670098	0.112135180680219	0.299385	0.00429383	0.812488	15.0	47.0	28.0	14.0	71.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
LCOR	2.7478721660112186	0.00599833906966317	2.221968988406164	0.0309805	0.751279520602275	0.00912628	0.194391	0.689845	33.0	132.0	78.0	52.0	219.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
MAN2A1	-2.747539832145927	0.006004421501753073	2.2215288285106807	0.514064	0.0881357547324487	0.106483	0.358217	0.210253	28.0	94.0	69.0	37.0	157.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
 
COHORT: META-GROUP3; APPROACH: RESULTS_WEIGHTEDZ_CMCWALD; VARIANT GROUP: ALL_MISSENSE_SNPEFF; MAF: 0.01; NUMVAR >= 2
GENE	TEST_STAT_WEIGHTEDZ	META_PVAL	-log10	AMP_NIH_PVAL	GNE_PVAL	UKB_CASE_PVAL	UKB_SIBLING_PROXY_PVAL	UKB_PARENT_PROXY_PVAL	AMP_NIH_NUMVAR	GNE_NUMVAR	UKB_CASE_NUMVAR	UKB_SIBLING_PROXY_NUMVAR	UKB_PARENT_PROXY_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
GBA	9.398084580541672	5.556535143799108e-21	20.25519593449543	1.21058e-05	1.23743257136136e-07	0.000312011	0.209347	8.54366e-11	17.0	18.0	32.0	24.0	76.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP3
LSR	4.388561701887937	1.1410276379431965e-05	4.942703835984194	0.050274	0.0172658535488151	0.00310709	0.0270323	0.759226	25.0	72.0	44.0	35.0	125.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP3
ZNF777	4.250140511633208	2.1363645506074962e-05	4.670324637032839	0.610538	0.322945500168009	0.00255789	0.000578957	0.121576	13.0	56.0	29.0	22.0	101.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP3
SEPTIN5	3.964925666854038	7.341882234676495e-05	4.134192585950302	0.71969	NA	0.239243	0.000220466	0.00693884	5.0	NA	20.0	8.0	53.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP3
STK38L	3.9201952954354105	8.847723965987016e-05	4.053168435080817	0.36156	0.0001667716361832	0.176111	0.135247	0.21416	2.0	11.0	8.0	6.0	33.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP3
NUP210	3.8285691089097136	0.00012889044012972018	3.8897792932973103	0.0708268	0.0149254576408459	0.0239062	0.380257	0.236374	59.0	199.0	119.0	80.0	324.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP3
IPO4	-3.793724351055557	0.00014840441788219378	3.828553170261172	0.0275843	0.722205463198752	0.0994934	0.0274763	0.0382318	30.0	128.0	62.0	44.0	186.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP3
IRX6	3.7603888809371657	0.00016964942113662228	3.770447617879162	0.151714	0.190565384718304	0.116786	0.296839	0.00225489	12.0	49.0	39.0	24.0	90.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP3
