GENE,META_PVAL,AMP_NIH_PVAL,GNE_PVAL,UKB_CASE_PVAL,MAF,AMP_NIH_SIG,GNE_SIG,UKB_CASE_SIG,SIG_DATASET
CENPH,0.004030463257636,0.0285748,0.0069611535222897,0.361529,0.01,1,1,0,2
ARHGEF38,0.0041395376930689,0.0158072,0.0069534361918652,0.676147,0.01,1,1,0,2
VIT,0.0042497432339948,0.0185363,0.182205276047976,0.022729,0.01,1,0,1,2
IFNGR1,0.0042750682349253,0.0485065,0.819850671663014,0.00194452,0.01,1,0,1,2
ARFGAP1,0.00441335016891,0.00991648,0.041192778915014,0.196893,0.01,1,1,0,2
DDX52,0.004524796134953,0.0230843,0.221275520932634,0.0162381,0.01,1,0,1,2
SQSTM1,0.0045960160303233,0.00260868,0.0426531560984826,0.759967,0.01,1,1,0,2
ITPA,0.0048236510913656,0.452009,0.004155008135262,0.0477985,0.01,0,1,1,2
OXLD1,0.0049203237348364,0.799431,0.0108312843468933,0.0106253,0.01,0,1,1,2
DSEL,0.0049243744522766,0.0450808,0.0250575957091242,0.0815293,0.01,1,1,0,2
NPIPB11,0.0049800452752357,0.00345853,0.0483855202734966,0.558065,0.01,1,1,0,2
NPR3,0.0051129809010612,0.00457951,0.530202084616973,0.0397383,0.01,1,0,1,2
CDCP2,0.0057154463168618,0.0125754,0.0175014923548564,0.503432,0.01,1,1,0,2
DEPDC1B,0.0059307287201337,0.117674,0.0322798814135609,0.0305427,0.01,0,1,1,2
CD70,0.0061584141064591,0.0134954,0.0142920591462758,0.630407,0.01,1,1,0,2
ICAM2,0.0062320108328208,0.0120001,0.0152410957222172,0.674734,0.01,1,1,0,2
C1QL3,0.0063222104432398,0.00297356,0.0491313293828333,0.859967,0.01,1,1,0,2
ASRGL1,0.0063549609590703,0.283496,0.0105396678038004,0.0423197,0.01,0,1,1,2
RNF167,0.006603132891412,0.00692353,0.0371791850872503,0.515298,0.01,1,1,0,2
KRT80,0.0069673196691467,0.00572068,0.785191396283832,0.0315799,0.01,1,0,1,2
RHBDL2,0.0071502564729842,0.144007,0.0403259088956992,0.0252322,0.01,0,1,1,2
NDUFA10,0.0073425092820441,0.0136157,0.0394083850353038,0.282312,0.01,1,1,0,2
SPATA25,0.0074394599749099,0.0136738,0.740648333527762,0.0152054,0.01,1,0,1,2
MYO7B,0.0075492417762061,0.17624,0.0367171531360202,0.0242384,0.01,0,1,1,2
NTSR1,0.0077095636525029,0.750278,0.0212449959114633,0.010103,0.01,0,1,1,2
FANCC,0.0081745670698016,0.0143061,0.0214388563732836,0.565149,0.01,1,1,0,2
PGAP3,0.0082274169826739,0.440906,0.0352023512567589,0.0112587,0.01,0,1,1,2
DCAF15,0.0083685402073895,0.324975,0.0316464332096389,0.017359,0.01,0,1,1,2
TRAPPC12,0.0084023030015308,0.0245138,1.0,0.00731964,0.01,1,0,1,2
FCER1G,0.0085477461055916,0.0431349,0.0254743888212842,0.16686,0.01,1,1,0,2
PRR15,0.0086678411740446,0.0174222,0.0128465970023393,0.833733,0.01,1,1,0,2
SNRNP27,0.0091222771146067,0.0131576,0.0364085875585173,0.415456,0.01,1,1,0,2
FGF3,0.0099044586509244,1.0,0.0292972603509487,0.00753769,0.01,0,1,1,2
KMT5B,0.0103554862803071,0.0377416,0.0115680469249385,0.535161,0.01,1,1,0,2
SLC38A10,0.0104624810039182,0.0174372,0.567578188461544,0.0239179,0.01,1,0,1,2
UHRF1,0.0104952541400529,0.756858,0.0116715862056324,0.0269032,0.01,0,1,1,2
GPR17,0.010803646758007,0.525669,0.0122774698398573,0.0382022,0.01,0,1,1,2
HSPA1L,0.0109129859369068,0.0458087,0.156332664230351,0.0348711,0.01,1,0,1,2
ARPC5,0.0113996282467363,0.0478603,0.364071074885104,0.0151491,0.01,1,0,1,2
HECTD2-AS1,0.0116121394473202,0.0459298,,0.033863,0.01,1,0,1,2
LURAP1L,0.0119654691948934,0.0117729,0.0298987065535702,0.797631,0.01,1,1,0,2
PDX1,0.0129707788866049,0.0248818,0.428190782596601,0.0292105,0.01,1,0,1,2
GGTLC2,0.0136487042741943,0.0284108,0.013612714664425,0.858898,0.01,1,1,0,2
UMODL1,0.0138626772546895,0.0252562,0.0434565055237097,0.308747,0.01,1,1,0,2
OR51I1,0.0138632971582483,0.528043,0.0162883133210789,0.0394008,0.01,0,1,1,2
KIF21B,0.0140292547210059,0.0299451,0.0282076700441652,0.407364,0.01,1,1,0,2
FLRT1,0.0142605339883201,0.0368427,0.559539151163408,0.0170452,0.01,1,0,1,2
SCRT2,0.0147684048401259,0.0313368,0.0145160753308108,0.807967,0.01,1,1,0,2
SPHK1,0.014846592296423,0.265921,0.0472102509249208,0.0294751,0.01,0,1,1,2
CGN,0.0149026623173162,0.031389,0.0440128628460388,0.269148,0.01,1,1,0,2
EIF3F,0.0149879063835554,0.463898,0.0369930341323508,0.0218268,0.01,0,1,1,2
PRKAB2,0.0151786698686857,0.0184091,0.048597256498197,0.425551,0.01,1,1,0,2
MSR1,0.0154285265975329,0.663047,0.0181236631345695,0.0323541,0.01,0,1,1,2
EFCAB2,0.0160281840518725,0.0406207,0.0138418683629066,0.726288,0.01,1,1,0,2
CLRN3,0.0171945759087504,1.0,0.0141583795702552,0.0315808,0.01,0,1,1,2
DGKA,0.0174187556605921,1.0,0.0331232921698106,0.0137271,0.01,0,1,1,2
CELA3A,0.0195653850738952,0.0475637,0.0218975265129485,0.507572,0.01,1,1,0,2
CSRP2,0.020471672573315,0.020612,0.0338052936721021,0.804744,0.01,1,1,0,2
SNF8,0.0212388547601103,0.0355125,0.413202526684859,0.0400915,0.01,1,0,1,2
ARSG,0.0212747096598339,0.0421133,0.018811666548598,0.744228,0.01,1,1,0,2
DTD2,0.0217671874420657,0.402366,0.0338175676889134,0.0446444,0.01,0,1,1,2
TRMT12,0.0223878111514967,0.0466897,0.708106374354351,0.0190622,0.01,1,0,1,2
CREB3L3,0.0224314791633416,0.57049,0.0309316586658752,0.0358054,0.01,0,1,1,2
OSBPL1A,0.0226321992431113,0.741313,0.0249726362675781,0.03453,0.01,0,1,1,2
NR5A2,0.0226640229264855,0.0221154,0.0434802789820777,0.666,0.01,1,1,0,2
SDAD1,0.0234129045050969,0.0367584,0.0266100179737297,0.68321,0.01,1,1,0,2
OAF,0.0249538440189046,0.0480816,0.0359838373814716,0.419968,0.01,1,1,0,2
RPL23,0.0257716656906977,0.0452376,0.42245995541275,0.0396688,0.01,1,0,1,2
DNASE1,0.0258026316884546,0.895047,0.0191907114224302,0.0442063,0.01,0,1,1,2
CSTF3,0.0261898393776823,0.778523,0.0243759287783344,0.0408049,0.01,0,1,1,2
MARVELD1,0.0270779091291849,1.0,0.029122881537717,0.0277854,0.01,0,1,1,2
HSD11B1L,0.0283783792146229,0.886359,0.03696666216099,0.0262762,0.01,0,1,1,2
CIB1,0.0288154420351642,0.0292182,0.0347618707029772,0.864997,0.01,1,1,0,2
UBE2Q1,0.0289848233637192,0.712893,0.0317270228205163,0.0391462,0.01,0,1,1,2
SLC2A4RG,0.0300745540346708,0.0468124,0.544271395993015,0.0364943,0.01,1,0,1,2
DPCD,0.0305556623134599,0.0349701,0.032372355915342,0.83885,0.01,1,1,0,2
RASIP1,0.0324358759501834,0.0257703,1.0,0.0398978,0.01,1,0,1,2
EIF5A,0.0325897493497433,0.0353422,0.0436556414699646,0.670617,0.01,1,1,0,2
PRIM1,0.0339589722490317,0.0437351,0.538916201626463,0.0463783,0.01,1,0,1,2
SCGB1D2,0.0344464125212878,0.043684,0.599955353407377,0.0425108,0.01,1,0,1,2
COL8A2,0.0359743330449252,0.625811,0.0391581171502384,0.0481853,0.01,0,1,1,2
NRG1,0.0369440710535997,0.0406666,0.034851289795782,0.86342,0.01,1,1,0,2
HEG1,0.0370522659132191,0.0347907,1.0,0.0353119,0.01,1,0,1,2
PPM1N,0.0376462630877737,0.0396845,0.0417858908411065,0.756857,0.01,1,1,0,2
PLEKHG6,0.0377790058533352,0.800684,0.0406210612099941,0.038771,0.01,0,1,1,2
BSPRY,0.0397418088695886,1.0,0.0332363134110596,0.0406186,0.01,0,1,1,2
HECTD2,0.0441262033702168,0.0459298,1.0,0.033863,0.01,1,0,1,2
DZIP3,0.0461812077115018,0.0343432,0.0481777759627403,1.0,0.01,1,1,0,2
