GENE,META_PVAL,AMP_NIH_PVAL,GNE_PVAL,UKB_CASE_PVAL,MAF,AMP_NIH_SIG,GNE_SIG,UKB_CASE_SIG,SIG_DATASET
RNF10,0.0113564155183897,0.674913,0.0239702494204043,0.0162379,0.01,0,1,1,2
ASRGL1,0.0116213674180679,0.198829,0.034195293168475,0.0397878,0.01,0,1,1,2
MYOM3,0.0117540929902568,0.0455467,0.0148657853900942,0.405351,0.01,1,1,0,2
GHITM,0.0120459134963435,0.03081,0.0378208421875493,0.24301,0.01,1,1,0,2
CKMT2-AS1,0.0121066412212637,0.0449976,,0.0362705,0.01,1,0,1,2
OR2V1,0.0121300877445727,0.0288402,0.899168572184812,0.011017,0.01,1,0,1,2
ZNF408,0.0123861804935059,0.216452,0.0399768023544836,0.0339084,0.01,0,1,1,2
MYO7B,0.0124027509745233,0.144083,0.0436667301284208,0.0467148,0.01,0,1,1,2
SLC7A9,0.0126743632512479,0.0334223,0.0280623478225502,0.322158,0.01,1,1,0,2
ANGEL2,0.0127912697775922,0.777625,0.0256583608096272,0.0153223,0.01,0,1,1,2
PDE5A,0.0128682419307228,1.0,0.0076468622216447,0.0402874,0.01,0,1,1,2
UMOD,0.0129091117143407,0.914116,0.0478972687521406,0.00706481,0.01,0,1,1,2
TMEM235,0.012911476676723,1.0,0.0371357837030197,0.00833147,0.01,0,1,1,2
ADAMTS17,0.0132608086071163,0.027036,0.0213587017567642,0.5544,0.01,1,1,0,2
PKNOX1,0.0137511381769598,0.0145429,0.542887032581027,0.0424785,0.01,1,0,1,2
ZFP36L1,0.0137897813501585,0.022872,0.398576128493587,0.0369212,0.01,1,0,1,2
APOBEC3F,0.0140149647371802,0.0460052,0.528852148862381,0.0141243,0.01,1,0,1,2
ARPC5,0.0141651454491377,0.0478603,0.336585252075374,0.0216259,0.01,1,0,1,2
SGPL1,0.0148786268931204,0.649532,0.0490290734639073,0.0116518,0.01,0,1,1,2
XRCC1,0.0156477272841872,0.0168045,0.044092325375036,0.534342,0.01,1,1,0,2
GPR176,0.0161783888055802,0.0330708,0.573675109533862,0.0217853,0.01,1,0,1,2
RPS6KA1,0.0169269285545993,0.0455091,0.330943703746874,0.0290923,0.01,1,0,1,2
OR7C1,0.0169886893735233,0.0448806,0.805690169114313,0.0121744,0.01,1,0,1,2
PRKAB2,0.0170387345290719,0.0237019,0.0367861241432967,0.506825,0.01,1,1,0,2
ZNF705A,0.0177339098648062,1.0,0.0460170563535716,0.0101128,0.01,0,1,1,2
CATSPER4,0.0178777900322059,0.0486206,0.0193465311444881,0.499932,0.01,1,1,0,2
CSMD3,0.0188855726418119,0.0307748,0.0406546977070058,0.403561,0.01,1,1,0,2
DNAH6,0.0190003724421202,0.867447,0.0152506213246457,0.0384682,0.01,0,1,1,2
PGAP3,0.0191721230409112,0.53248,0.0482616797733518,0.0200356,0.01,0,1,1,2
SMUG1,0.0200124278329916,0.450374,0.0281575791030091,0.0429302,0.01,0,1,1,2
MMAB,0.0205653931824527,0.0496513,0.0173302260363588,0.65556,0.01,1,1,0,2
NRG1,0.0209774559862082,0.0354213,0.0234689615022624,0.69634,0.01,1,1,0,2
EOMES,0.0225052668276022,0.837423,0.0163775794271043,0.046267,0.01,0,1,1,2
NCKAP1L,0.0231575870197567,0.89546,0.0300865151473005,0.024451,0.01,0,1,1,2
HVCN1,0.0242857418662188,1.0,0.0347927850578228,0.0201523,0.01,0,1,1,2
FETUB,0.0249395463835159,0.368088,0.045472526364272,0.0433785,0.01,0,1,1,2
AGAP3,0.0271719844667675,0.0353262,1.0,0.0230114,0.01,1,0,1,2
TADA1,0.028031867154185,1.0,0.0358719616320107,0.0236139,0.01,0,1,1,2
CRADD,0.0297767246148042,0.663038,0.0396427883224623,0.034911,0.01,0,1,1,2
NME3,0.0313245939978528,0.0448643,0.037476967401693,0.583769,0.01,1,1,0,2
SLC15A5,0.0326458178368265,0.782539,0.0370233362301515,0.035795,0.01,0,1,1,2
HDHD2,0.0362462239461093,0.032297,0.915054339482754,0.0403604,0.01,1,0,1,2
BLOC1S1,0.0374046712623835,0.61733,0.044541122541745,0.045251,0.01,0,1,1,2
MSANTD1,0.0450632634130795,0.793978,0.0404224209876463,0.0498635,0.01,0,1,1,2
CKMT2,0.0451403467677822,0.0449976,0.921880179773383,0.0386686,0.01,1,0,1,2
USP28,0.0463293227264841,0.778967,0.0454205044579081,0.0469688,0.01,0,1,1,2
EGLN2,0.0464532883558895,0.0436078,0.0448694560050913,0.852404,0.01,1,1,0,2
