GENE,META_PVAL,AMP_NIH_PVAL,GNE_PVAL,UKB_CASE_PVAL,MAF,AMP_NIH_SIG,GNE_SIG,UKB_CASE_SIG,SIG_DATASET
MRPL15,0.0020970922493506,0.0157017,0.0308605574231988,0.0668109,0.01,1,1,0,2
IVL,0.0022311122943779,0.539632,0.0014436783426944,0.0447986,0.01,0,1,1,2
DLEU7,0.0022583645681652,0.0254417,0.160410353860208,0.00867871,0.01,1,0,1,2
RIN3,0.0022946813571557,0.541618,0.0018240678496799,0.0365522,0.01,0,1,1,2
SNX27,0.0023017439035892,0.00809325,0.255770061765801,0.0175104,0.01,1,0,1,2
LSR,0.0023944795508723,0.0810923,0.034857868327213,0.0134535,0.01,0,1,1,2
SST,0.0024088196528561,0.00569972,0.0126519179811323,0.531201,0.01,1,1,0,2
CDCP2,0.0025154554490236,0.00578544,0.0114798079169008,0.607974,0.01,1,1,0,2
NECAP1,0.0025639350802758,0.0393246,0.0045876119152676,0.229086,0.01,1,1,0,2
OXLD1,0.0025775454174318,0.799431,0.0074755199563894,0.00696029,0.01,0,1,1,2
LIMK1,0.0027174405669863,0.0115198,0.0859206377886071,0.0448209,0.01,1,0,1,2
CDSN,0.0027731186103852,0.388928,0.0059008807753581,0.0198144,0.01,0,1,1,2
EFNA4,0.0032954704299241,0.0343416,0.609693123700439,0.00268206,0.01,1,0,1,2
TTYH2,0.0034265017964778,0.00428735,0.814705484919973,0.0168643,0.01,1,0,1,2
EIF4EBP3,0.0035975111247531,0.0704592,0.0255456516591478,0.0347424,0.01,0,1,1,2
VIT,0.0036444120035987,0.0185363,0.191792665090072,0.0178718,0.01,1,0,1,2
HSD11B1L,0.0039497425160267,0.895742,0.0158362162644886,0.00494487,0.01,0,1,1,2
PRTN3,0.0040551716237519,0.00484481,0.902394344303352,0.0165731,0.01,1,0,1,2
SMR3A,0.004153789922099,0.444589,0.0154643196239916,0.0108554,0.01,0,1,1,2
KRTAP21-3,0.0044519165164171,0.0134398,0.141729248849943,0.0426798,0.01,1,0,1,2
GRINA,0.004514082089154,0.509448,0.0042349640502819,0.0383322,0.01,0,1,1,2
CTBP2,0.0046191820575342,0.0352495,0.0849817488675504,0.0284045,0.01,1,0,1,2
IGSF22,0.0047047113388354,0.00300854,0.703128330954539,0.041146,0.01,1,0,1,2
CATIP-AS2,0.0047295476938742,0.0133234,,0.0417959,0.01,1,0,1,2
NPIPB11,0.0050248871369846,0.00345853,0.04717787696781,0.578742,0.01,1,1,0,2
NME3,0.0052192331879947,0.0103614,0.0180363333004899,0.529639,0.01,1,1,0,2
CD70,0.0052380313114437,0.0134954,0.0128443493776944,0.573569,0.01,1,1,0,2
DSEL,0.0056923170892679,0.0450808,0.0258517042060215,0.0945947,0.01,1,1,0,2
DEPDC1B,0.0059042929314161,0.117674,0.0315042360479505,0.0311211,0.01,0,1,1,2
ARFGAP1,0.0059217166335722,0.00991648,0.0424398367622957,0.275148,0.01,1,1,0,2
LACTB2,0.0059277845002991,0.0187656,0.412326138694838,0.0149847,0.01,1,0,1,2
RIC8A,0.0059995489089705,0.860223,0.0042231531666685,0.0323975,0.01,0,1,1,2
CNOT8,0.0061847525000975,1.0,0.0174893115035748,0.00698939,0.01,0,1,1,2
C1QL3,0.0063222104432398,0.00297356,0.0491313293828333,0.859967,0.01,1,1,0,2
IFNGR1,0.006363907570662,0.0485065,0.83323999633439,0.00313407,0.01,1,0,1,2
CIZ1,0.0072488493265499,0.647838,0.0048707990977977,0.0472395,0.01,0,1,1,2
NTSR1,0.0072679515347032,0.74797,0.0197910703183947,0.010103,0.01,0,1,1,2
KRT80,0.0072765720245611,0.00572068,0.778102360685046,0.0336484,0.01,1,0,1,2
FANCC,0.0075241957696502,0.0123234,0.0216661007094038,0.585,0.01,1,1,0,2
SPATA25,0.0075266870932397,0.0136738,0.740648333527762,0.0154293,0.01,1,0,1,2
NLRX1,0.0076150291335305,0.0865195,0.0440939212498365,0.0415635,0.01,0,1,1,2
GNG4,0.0077010838277651,0.0162669,0.686281350971293,0.0144053,0.01,1,0,1,2
KMT5B,0.0078348410414837,0.0377416,0.0117843936176464,0.36948,0.01,1,1,0,2
KIF21B,0.0079787581328803,0.0299451,0.0156462134052711,0.358851,0.01,1,1,0,2
RTEL1,0.008120988099299,0.206814,0.0434825909023435,0.0191161,0.01,0,1,1,2
DBF4,0.008171296413744,0.487598,0.0290381827388264,0.0122359,0.01,0,1,1,2
TRIM58,0.0083085367239685,0.31688,0.0205417920188827,0.027179,0.01,0,1,1,2
PGAP3,0.0087815165047304,0.440906,0.0389196159739181,0.0110544,0.01,0,1,1,2
HECTD2-AS1,0.0087916536099845,0.0459298,,0.0245835,0.01,1,0,1,2
MVK,0.0090178970518534,0.0325502,0.448585947786459,0.0134338,0.01,1,0,1,2
NDUFA10,0.0090295769027144,0.0205717,0.0440307126834499,0.216911,0.01,1,1,0,2
PRR15,0.0090654325636666,0.0174222,0.0128465970023393,0.882243,0.01,1,1,0,2
UHRF1,0.0096427104396369,0.822133,0.0121340308824827,0.0213994,0.01,0,1,1,2
ICAM2,0.0097218641799347,0.0120001,0.0252404833267497,0.712126,0.01,1,1,0,2
SCRT2,0.0100592598731804,0.0313368,0.0256514686411788,0.280173,0.01,1,1,0,2
GPR17,0.010280460803247,0.525669,0.010647427624274,0.0413623,0.01,0,1,1,2
EIF5A,0.0106980371800213,0.0353422,0.0118253479271047,0.582621,0.01,1,1,0,2
SULT1C4,0.0108248902777794,0.0402331,0.371843254292705,0.0165215,0.01,1,0,1,2
TRAPPC12,0.0110883602698698,0.0245138,1.0,0.0103956,0.01,1,0,1,2
CES4A,0.0114002378972456,0.179147,0.0307124543983418,0.0479793,0.01,0,1,1,2
SLC38A10,0.011592909346196,0.017501,0.580208221766633,0.0265579,0.01,1,0,1,2
PCP4L1,0.0117863186139763,0.873165,0.0181124912468491,0.0174147,0.01,0,1,1,2
FGF3,0.0118059563663661,1.0,0.0366161920872716,0.00753769,0.01,0,1,1,2
PPME1,0.011845773638665,0.859518,0.0494519105309172,0.00652133,0.01,0,1,1,2
REXO4,0.0119081965230213,0.734259,0.011551260334097,0.0329006,0.01,0,1,1,2
OR51I1,0.012127631786105,0.450596,0.015974619167031,0.0396801,0.01,0,1,1,2
RFC4,0.0123131981773418,0.220385,0.0485830443297504,0.0271979,0.01,0,1,1,2
LURAP1L,0.0123701301852041,0.0117729,0.0298987065535702,0.83219,0.01,1,1,0,2
SDAD1,0.0125399723987027,0.037084,0.0279828546198058,0.287236,0.01,1,1,0,2
GGTLC2,0.0125891901212492,0.0284108,0.0119838940681234,0.879849,0.01,1,1,0,2
PDX1,0.0130398254157686,0.0248818,0.347891921691539,0.0361976,0.01,1,0,1,2
PSG7,0.0131781096918769,0.0357561,0.486700007502856,0.0182496,0.01,1,0,1,2
MYO7B,0.0132103139876263,0.181237,0.0370540493742034,0.0474393,0.01,0,1,1,2
SLC15A5,0.0134224629052557,0.716127,0.0162574575984314,0.0279275,0.01,0,1,1,2
ARPC5,0.0137409199447202,0.0478603,0.364071074885104,0.0192289,0.01,1,0,1,2
FLRT1,0.0142624480860963,0.0368427,0.559635516227356,0.0170452,0.01,1,0,1,2
UPK2,0.0146466071694248,0.468281,0.0389200432620729,0.0199525,0.01,0,1,1,2
PARD6G,0.0148389900147982,0.850312,0.0260957348472548,0.0166652,0.01,0,1,1,2
S100A14,0.0149986598345668,0.582859,0.0464030696252016,0.0138619,0.01,0,1,1,2
SERPINB10,0.0162574181097961,0.0350353,0.39912757701931,0.0297431,0.01,1,0,1,2
FAM189B,0.016772952505092,0.0109787,0.0491278177933617,0.802833,0.01,1,1,0,2
EIF3F,0.0170488560764995,0.463898,0.0369930341323508,0.0257701,0.01,0,1,1,2
PRKAB2,0.0173411091843849,0.0184091,0.04998269510856,0.491304,0.01,1,1,0,2
DGKA,0.0178682324552574,1.0,0.036355724165259,0.0129259,0.01,0,1,1,2
CLRN3,0.0179305572687839,1.0,0.0143618672469208,0.0328686,0.01,0,1,1,2
MORN2,0.0197655136412389,0.015254,0.740909331586668,0.0473988,0.01,1,0,1,2
CELA3A,0.0207300959264509,0.0317894,0.0296492918137726,0.604736,0.01,1,1,0,2
UBE2Q1,0.0210267971608839,0.712893,0.0271454420334845,0.0300047,0.01,0,1,1,2
JRK,0.0211657031928807,0.380058,0.0440502074763695,0.0349819,0.01,0,1,1,2
BSPRY,0.0222030194238759,1.0,0.0244625391275782,0.0254849,0.01,0,1,1,2
OAF,0.0252376020108411,0.0480816,0.0359838373814716,0.426261,0.01,1,1,0,2
CIB1,0.0265963699336314,0.0329825,0.0263794834959171,0.908273,0.01,1,1,0,2
TRMT12,0.0274625288291773,0.0466897,0.792945483634548,0.0222678,0.01,1,0,1,2
SLC2A4RG,0.0276522510665421,0.0468124,0.445551158345973,0.0398873,0.01,1,0,1,2
ARSG,0.027765564254478,0.0489165,0.0355351437032788,0.481202,0.01,1,1,0,2
SMUG1,0.0297445109658076,0.470714,0.0429142412664445,0.045361,0.01,0,1,1,2
RASIP1,0.029902342337804,0.0257703,1.0,0.0358073,0.01,1,0,1,2
DNASE1,0.0304285187093867,1.0,0.0229768182624582,0.0411017,0.01,0,1,1,2
HEG1,0.0320933836096127,0.0279785,1.0,0.0362327,0.01,1,0,1,2
PRIM1,0.0323160648757642,0.0437351,0.790632691311815,0.0295884,0.01,1,0,1,2
STEAP1,0.0334479357905342,0.587374,0.0385277561048226,0.0473349,0.01,0,1,1,2
RPL23,0.0339724571279537,0.0452376,0.60946389612553,0.0396688,0.01,1,0,1,2
HECTD2,0.034791875866279,0.0459298,1.0,0.0245835,0.01,1,0,1,2
PPM1N,0.0390334082093815,0.0396845,0.0435081139999502,0.763166,0.01,1,1,0,2
COL8A2,0.0407080408514453,0.625811,0.0450821141885083,0.0494275,0.01,0,1,1,2
NRG1,0.0419600908394395,0.0405201,0.0358532482548393,1.0,0.01,1,1,0,2
SCGB1D2,0.0465047987023047,0.043684,0.826360434874903,0.0462726,0.01,1,0,1,2
