COHORT: GNE_AMP_NIH_UKB_CASE_PARENT_PROXY_META; VARIANT GROUP: ALL_MISSENSE_SNPEFF; MAF: 0.001; NUMVAR >= 3 for SkatO
GENE	TEST_STAT	META_PVAL	UKB_CASE_PVAL	AMP_NIH_PVAL	UKB_PARENT_PROXY_PVAL	GNE_PVAL	UKB_CASE_NUMVAR	AMP_NIH_NUMVAR	UKB_PARENT_PROXY_NUMVAR	GNE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
S100B	27.634638725612497	0.00011007718821614435	0.000187978	NA	0.124738	0.0425704895985266	4.0	NA	11.0	3.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
ATP1A1-AS1	23.208880047739974	0.000115021569175733	0.0241684	NA	0.000377579	NA	10.0	NA	27.0	NA	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
RPS14	23.108276019198833	0.00012047266509067272	0.57527	NA	1.66813e-05	NA	4.0	NA	16.0	NA	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
LURAP1L	30.028869534631305	0.00020890899953155453	0.466296	0.000258705	0.0665303	0.0375688444773247	18.0	9.0	39.0	26.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
DCAF15	29.804787247884907	0.00022884639048611837	0.0002336	0.282142	0.161699	0.0316464332096389	30.0	13.0	85.0	39.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
EFHD2	25.767501463924614	0.00024597388239149757	9.05463e-05	NA	0.0977033	0.286997563600847	13.0	NA	36.0	12.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
DDAH1	29.524708387793027	0.0002564098616883303	0.000312128	0.689357	0.00334754	0.538627272034656	6.0	4.0	31.0	10.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
MTMR7	29.34933480581028	0.0002753025075762458	0.0461384	0.112203	0.000179328	0.456202666545678	46.0	22.0	139.0	68.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
E2F1	28.98789869149227	0.00031865235940928786	4.14438e-05	0.524978	0.134785	0.173027662974542	16.0	6.0	57.0	23.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
ADORA1	28.95092986133176	0.00032344703286526247	0.711395	0.54137	0.00188506	0.0007119594935897	15.0	6.0	40.0	26.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
EIF3CL	16.054246978374056	0.00032648599999999975	NA	NA	0.000326486	NA	NA	NA	6.0	NA	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
EIF3C	16.054246978374056	0.00032648599999999975	NA	NA	0.000326486	NA	NA	NA	6.0	NA	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
JADE1	28.82466497076497	0.0003403628660507391	0.000153236	0.0575336	0.610803	0.102239804963478	25.0	6.0	74.0	43.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
DCAF1	28.707768329757403	0.00035679569309353556	0.211237	0.473686	0.0342621	0.0001702600650022	25.0	10.0	79.0	66.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
 
COHORT: GNE_AMP_NIH_UKB_CASE_PARENT_PROXY_META; VARIANT GROUP: ALL_MISSENSE_SNPEFF; MAF: 0.001; NUMVAR >= 3 for CMCWald
GENE	TEST_STAT	META_PVAL	UKB_CASE_PVAL	AMP_NIH_PVAL	UKB_PARENT_PROXY_PVAL	GNE_PVAL	UKB_CASE_NUMVAR	AMP_NIH_NUMVAR	UKB_PARENT_PROXY_NUMVAR	GNE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
GBA	70.08131244628774	4.734603101054601e-12	0.000258426	0.013579	8.03039e-09	0.0214830395852572	30.0	15.0	74.0	16.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
KIF9	31.212681302541696	0.00012876847188860292	7.06372e-07	0.484807	0.846707	0.575329793399795	48.0	25.0	122.0	82.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
MTMR7	31.033740780062733	0.0001385738386270171	0.02997	0.116179	0.000132965	0.394055232176372	46.0	22.0	139.0	68.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
P2RY10	17.564115157175145	0.0001534620000000001	NA	NA	0.000153462	NA	NA	NA	15.0	NA	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
APBA3	29.8048422261514	0.0002288412766618269	0.00134629	0.0116824	0.130215	0.164675517221868	57.0	39.0	133.0	105.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
DCAF1	29.521199053500887	0.0002567751241265428	0.136336	0.616782	0.0182102	0.0002538026319691	25.0	10.0	79.0	66.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
DSEL	29.411106395041493	0.00026849701525481914	0.00142626	0.0124232	0.751983	0.030819045993025	61.0	22.0	166.0	77.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
MON1B	28.892601130827018	0.0003311563082339613	0.0283893	0.0152072	0.00432157	0.285237017453366	34.0	19.0	107.0	55.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
ADI1	28.455532731955042	0.0003949502069937811	0.0041791	0.975774	0.24843	0.0006536172912834	23.0	17.0	49.0	34.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
XKR7	27.90555124934063	0.0004925445383333863	0.136504	0.000483158	0.0227537	0.580898103462391	30.0	13.0	89.0	44.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
NOP53	24.087969201738414	0.0005031523709924026	0.00970228	0.0125628	0.0482396	NA	47.0	28.0	119.0	NA	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
STK38L	23.953115620109173	0.0005327304265910672	0.176111	NA	0.21416	0.0001667716361832	8.0	NA	33.0	11.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
MET	27.59649430228628	0.0005573788515868658	0.717779	0.0267918	0.00116326	0.0454807865751501	52.0	24.0	165.0	97.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
OR2T8	27.344934715899832	0.0006162577881783051	0.145781	0.0177751	0.0725605	0.0061363430128891	18.0	5.0	51.0	5.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
ADORA1	27.204146689125324	0.0006518232681336317	0.494139	0.500647	0.00854492	0.0005856064517807	15.0	6.0	40.0	26.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
RPS20	23.106926073447926	0.0007614458259613109	0.0076071	NA	0.00159612	0.790879086357917	4.0	NA	13.0	5.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
PAQR5	26.659494772944498	0.0008093167139736622	0.0726946	0.306817	0.198907	0.0003663807330906	16.0	11.0	52.0	23.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
PSG7	26.658699864343177	0.0008095717683948141	0.00706998	0.00637805	0.121345	0.297172683720856	48.0	22.0	114.0	85.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
TREML1	26.55620427738615	0.0008431251808399286	0.588336	0.33677	5.27448e-05	0.163777802913243	14.0	9.0	43.0	29.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
E2F1	26.409481435531163	0.0008935333169577971	0.000435059	0.35163	0.107238	0.112271929798619	16.0	6.0	57.0	23.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
LAT	26.218393725217744	0.0009636167999691372	0.931685	0.546265	0.00757858	0.0005253972822846	20.0	11.0	47.0	24.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
DLEU7	25.998404978661753	0.0010509599991305927	0.00637429	0.00979373	0.45246	0.080086249114731	12.0	6.0	41.0	13.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
C11orf63	13.694747748088494	0.0010622416134898	NA	NA	NA	0.0010622416134898	NA	NA	NA	68.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
C12orf60	25.924498979300694	0.0010820021564245058	0.00135261	0.39908	0.244444	0.0177891269492137	26.0	7.0	61.0	24.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
 
COHORT: GNE_AMP_NIH_UKB_CASE_PARENT_PROXY_META; VARIANT GROUP: ALL_MISSENSE_SNPEFF; MAF: 0.01; NUMVAR >= 3 for SkatO
GENE	TEST_STAT	META_PVAL	UKB_CASE_PVAL	AMP_NIH_PVAL	UKB_PARENT_PROXY_PVAL	GNE_PVAL	UKB_CASE_NUMVAR	AMP_NIH_NUMVAR	UKB_PARENT_PROXY_NUMVAR	GNE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
GBA	119.8601818990069	3.5431625080400695e-22	0.000314406	1.05348e-05	2.1519e-10	1.31750719223334e-08	32.0	17.0	76.0	18.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
P2RY10	26.533946102128862	1.730720000000001e-06	NA	NA	1.73072e-06	NA	NA	NA	15.0	NA	SkatO	ALL_MISSENSE_SNPEFF	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
LRRK2	40.459826628317025	2.6298139153257235e-06	0.371834	1.96111e-07	0.482185	0.0465795758379102	120.0	56.0	336.0	179.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
RPS20	33.7625729752025	7.476082935620193e-06	0.000102238	NA	0.000609874	0.74764936165867	4.0	NA	13.0	5.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
STK38L	32.260828485826224	1.4542305948149825e-05	0.165171	NA	0.022298	2.68194825381318e-05	8.0	NA	33.0	11.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
RAP1A	30.143440234051717	3.6915432040536005e-05	0.000102486	NA	0.0301836	0.0920448597787588	7.0	NA	15.0	6.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
EEA1	32.8360592512234	6.59207649580635e-05	5.51316e-06	0.710964	0.410951	0.0459940953463497	50.0	27.0	149.0	84.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
SLC6A14	28.746502256151157	6.793780745438859e-05	1.61599e-06	NA	0.509283	0.695630314370337	8.0	NA	38.0	14.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
S100B	27.634638725612497	0.00011007718821614435	0.000187978	NA	0.124738	0.0425704895985266	4.0	NA	11.0	3.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
ATP1A1-AS1	23.208880047739974	0.000115021569175733	0.0241684	NA	0.000377579	NA	10.0	NA	27.0	NA	SkatO	ALL_MISSENSE_SNPEFF	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
RUSF1	27.41083392612264	0.00012126665745059403	0.0475391	0.100625	0.000233376	NA	50.0	28.0	114.0	NA	SkatO	ALL_MISSENSE_SNPEFF	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
RBM20	30.787354196009108	0.00015328682077827204	0.0776699	0.247339	3.32874e-05	0.322690187043243	71.0	46.0	206.0	119.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
TOM1	30.680064053284305	0.00016016425498464456	0.0558515	0.279296	0.000434243	0.032142255939973	42.0	25.0	95.0	60.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
RAP1GDS1	30.67228928233195	0.0001606742584279345	0.0044127	0.000804792	0.138926	0.443022133046199	32.0	17.0	84.0	33.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
GDF9	30.395308601846196	0.00017992334602748595	0.476441	0.112354	0.228607	2.05142388890467e-05	24.0	9.0	46.0	44.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
PPFIBP2	29.92640834102444	0.00021780405407227069	0.137142	0.811649	0.000243868	0.0116914787327127	68.0	47.0	190.0	105.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
RPUSD1	29.516579879535623	0.00025725668122220964	0.892608	1.28091e-05	0.865146	0.039381052741897	40.0	31.0	107.0	78.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
EIF3CL	16.054246978374056	0.00032648599999999975	NA	NA	0.000326486	NA	NA	NA	6.0	NA	SkatO	ALL_MISSENSE_SNPEFF	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
EIF3C	16.054246978374056	0.00032648599999999975	NA	NA	0.000326486	NA	NA	NA	6.0	NA	SkatO	ALL_MISSENSE_SNPEFF	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
DCAF1	28.707768329757403	0.00035679569309353556	0.211237	0.473686	0.0342621	0.0001702600650022	25.0	10.0	79.0	66.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
SBF2-AS1	24.887585651960674	0.0003582113751039622	1.38708e-05	0.474985	0.59834	NA	26.0	4.0	75.0	NA	SkatO	ALL_MISSENSE_SNPEFF	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
PANK4	28.65601142139206	0.0003643177139876132	0.5976	0.116878	0.00752791	0.0011392221088566	47.0	25.0	149.0	60.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
XPNPEP1	28.33041291164617	0.0004153335196176544	0.700665	0.750995	0.00378828	0.0003536221502211	23.0	6.0	75.0	49.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
CSNK1A1P1	20.138361854043588	0.0004689491707275564	4.23653e-05	NA	1.0	NA	5.0	NA	11.0	NA	SkatO	ALL_MISSENSE_SNPEFF	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
 
COHORT: GNE_AMP_NIH_UKB_CASE_PARENT_PROXY_META; VARIANT GROUP: ALL_MISSENSE_SNPEFF; MAF: 0.01; NUMVAR >= 3 for CMCWald
GENE	TEST_STAT	META_PVAL	UKB_CASE_PVAL	AMP_NIH_PVAL	UKB_PARENT_PROXY_PVAL	GNE_PVAL	UKB_CASE_NUMVAR	AMP_NIH_NUMVAR	UKB_PARENT_PROXY_NUMVAR	GNE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
GBA	116.96520291203535	1.40190864878139e-21	0.000312011	1.21058e-05	8.54366e-11	1.23743257136136e-07	32.0	17.0	76.0	18.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
EEA1	33.78852189266133	4.437167958665966e-05	2.80507e-06	0.605938	0.704963	0.0384040900142764	50.0	27.0	149.0	84.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
PPFIBP2	32.96847032852299	6.239911172127094e-05	0.0571223	0.564391	0.000221864	0.0096942680878741	68.0	47.0	190.0	105.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
P2RY10	17.564115157175145	0.0001534620000000001	NA	NA	0.000153462	NA	NA	NA	15.0	NA	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
TOM1	30.147447513824083	0.00019905984493675714	0.131327	0.156181	0.000574655	0.0241087968899287	42.0	25.0	95.0	60.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
PANK4	29.56572427254979	0.00025217845378246336	0.527016	0.0674404	0.0124151	0.0008613712803947	47.0	25.0	149.0	60.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
DCAF1	29.521199053500887	0.0002567751241265428	0.136336	0.616782	0.0182102	0.0002538026319691	25.0	10.0	79.0	66.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
NCAM1	28.820109147423093	0.00034098916792382663	0.00138371	0.103627	0.00890707	0.432055904100879	52.0	23.0	127.0	83.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
IDUA	28.69723170342034	0.0003583145649788203	0.00028152	0.336791	0.299472	0.0206656637346275	144.0	95.0	376.0	53.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
RP11-548K23.11	15.466122116689498	0.00043810100973390025	NA	NA	NA	0.0004381010097339	NA	NA	NA	29.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
CRTAC1	28.03185208076353	0.000468229838546486	0.885064	0.00229725	0.000639063	0.62984553027736	52.0	28.0	133.0	78.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
STK38L	23.953115620109173	0.0005327304265910672	0.176111	NA	0.21416	0.0001667716361832	8.0	NA	33.0	11.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
