COHORT: GNE_AMP_NIH_UKB_CASE_PROXIES_META; VARIANT GROUP: ALL_MISSENSE_SNPEFF; MAF: 0.001; NUMVAR >= 4
GENE	TEST_STAT_WEIGHTEDZ	META_PVAL	UKB_CASE_BETA	UKB_CASE_SE	UKB_CASE_PVAL	AMP_NIH_BETA	AMP_NIH_SE	AMP_NIH_PVAL	UKB_SIBLING_PROXY_BETA	UKB_SIBLING_PROXY_SE	UKB_SIBLING_PROXY_PVAL	UKB_PARENT_PROXY_BETA	UKB_PARENT_PROXY_SE	UKB_PARENT_PROXY_PVAL	GNE_BETA	GNE_SE	GNE_PVAL	UKB_CASE_NUMVAR	AMP_NIH_NUMVAR	UKB_SIBLING_PROXY_NUMVAR	UKB_PARENT_PROXY_NUMVAR	GNE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	NTOTAL	META_ANALYSIS_GROUP
EVX1-AS	3.476538941942183	0.0005079304593353104	0.774465	0.348774	0.0263825	0.19671	0.326829	0.547258	0.667735	0.481783	0.165757	0.519992	0.189453	0.00605665	NA	NA	NA	31.0	15.0	20.0	56.0	NA	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
USP25	3.4690512486652603	0.0005222998120249358	0.235804	0.260523	0.365403	0.0803228	0.28756	0.779995	0.959243	0.330575	0.00371097	0.260417	0.126152	0.0389881	0.324086094521993	0.201729359345169	0.108155520796869	48.0	14.0	27.0	120.0	66.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
P2RY10	3.4554523826124055	0.0005493702200888973	NA	NA	NA	NA	NA	NA	0.958373	0.870173	0.27074	1.62322	0.428812	0.000153462	NA	NA	NA	NA	NA	6.0	15.0	NA	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
KIF2C	3.440468689597522	0.0005807076218441152	0.8481	0.312543	0.00665668	1.22484	0.468176	0.00889171	0.45399	0.434968	0.296609	0.235711	0.153844	0.125488	-0.0705574869300618	0.332042618764483	0.831720665163501	33.0	7.0	20.0	85.0	44.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
TMEM9B	3.432244161439095	0.0005986083712114333	2.03195	0.922382	0.027599	NA	NA	NA	1.37041	0.767483	0.0741663	-0.181105	0.444526	0.683706	1.47042130365888	0.44783875571058	0.0010257315461657	5.0	NA	7.0	22.0	18.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
FDFT1	-3.411070623174675	0.0006470832880434652	-0.732739	0.430101	0.0884479	-0.526836	0.424923	0.215035	-0.797779	0.603756	0.186381	-0.272333	0.173117	0.115693	-0.548544015584039	0.306547168351678	0.0735459504879885	43.0	10.0	32.0	126.0	67.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
RAP1A	3.408349056398056	0.000653572326391416	1.43945	0.547928	0.00861221	NA	NA	NA	NA	NA	NA	0.758422	0.33466	0.0234364	0.634778918531974	0.62842637265408	0.312443235681033	7.0	NA	NA	15.0	6.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
RIPOR2	3.370639748207058	0.0007499385793347306	0.27895	0.242735	0.250476	0.698913	0.225015	0.0018959	0.548795	0.292745	0.0608402	0.064823	0.106031	0.540963	NA	NA	NA	44.0	28.0	35.0	139.0	NA	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
TRRAP	3.3484375694918977	0.0008126858832079453	0.152999	0.206398	0.458521	0.0579565	0.254614	0.819938	0.470641	0.213584	0.0275569	0.148676	0.0839438	0.0765381	0.367962852481556	0.144653713810494	0.0109669615330286	116.0	32.0	92.0	372.0	190.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
CEP85L	3.3451254000452635	0.0008224537571590231	0.686677	0.317443	0.0305296	0.547077	0.291944	0.0609427	0.860456	0.384706	0.0253088	0.172165	0.160507	0.283437	0.0359251168505121	0.268949899318176	0.893738259963688	39.0	17.0	25.0	121.0	56.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
ATP1A1-AS1	3.343134360831769	0.0008283778051649516	1.28723	0.654757	0.0493026	NA	NA	NA	NA	NA	NA	0.994094	0.359926	0.00574592	NA	NA	NA	10.0	NA	NA	27.0	NA	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
ENDOU	-3.3282836506454028	0.0008738284671633308	-0.6123	0.530729	0.248625	-1.13946	0.477393	0.0169943	-0.0366927	0.491127	0.940444	-0.508177	0.226722	0.0249996	-0.540327449537089	0.340768930797856	0.112827256736117	21.0	13.0	18.0	60.0	35.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
USP6NL	3.303001003053519	0.0009565604568128265	0.626346	0.277659	0.0240822	-0.0196546	0.323173	0.951505	0.348661	0.32827	0.288184	0.104812	0.127513	0.411096	0.693741186822514	0.209801532491436	0.0009441725856261	42.0	19.0	40.0	145.0	66.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
ZNF777	3.3019744878008512	0.0009600680199140729	0.749222	0.335216	0.0254147	-0.11384	0.374118	0.760909	1.00186	0.415439	0.0158835	0.307319	0.149715	0.0401028	0.242969412522609	0.245815201188982	0.322945500168009	28.0	12.0	20.0	99.0	56.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
 
COHORT: GNE_AMP_NIH_UKB_CASE_PROXIES_META; VARIANT GROUP: ALL_MISSENSE_SNPEFF; MAF: 0.01; NUMVAR >= 4
GENE	TEST_STAT_WEIGHTEDZ	META_PVAL	UKB_CASE_BETA	UKB_CASE_SE	UKB_CASE_PVAL	AMP_NIH_BETA	AMP_NIH_SE	AMP_NIH_PVAL	UKB_SIBLING_PROXY_BETA	UKB_SIBLING_PROXY_SE	UKB_SIBLING_PROXY_PVAL	UKB_PARENT_PROXY_BETA	UKB_PARENT_PROXY_SE	UKB_PARENT_PROXY_PVAL	GNE_BETA	GNE_SE	GNE_PVAL	UKB_CASE_NUMVAR	AMP_NIH_NUMVAR	UKB_SIBLING_PROXY_NUMVAR	UKB_PARENT_PROXY_NUMVAR	GNE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	NTOTAL	META_ANALYSIS_GROUP
GBA	9.398084580541672	5.556535143799108e-21	0.612334	0.169851	0.000312011	0.567902	0.129786	1.21058e-05	0.312938	0.249281	0.209347	0.527896	0.081331	8.54366e-11	0.690006718764457	0.130488388603738	1.23743257136136e-07	32.0	17.0	24.0	76.0	18.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
LSR	4.388561701887937	1.1410276379431965e-05	0.495307	0.167506	0.00310709	0.373314	0.190697	0.050274	0.464906	0.210265	0.0270323	0.0247394	0.0807165	0.759226	0.288528324303496	0.121179626371041	0.0172658535488151	44.0	25.0	35.0	125.0	72.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
ZNF777	4.250140511633207	2.1363645506075087e-05	0.849188	0.281523	0.00255789	0.142378	0.279554	0.610538	1.0125	0.294222	0.000578957	0.186224	0.120285	0.121576	0.242969412522609	0.245815201188982	0.322945500168009	29.0	13.0	22.0	101.0	56.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
SEPTIN5	3.9649256668540374	7.341882234676517e-05	0.561456	0.477071	0.239243	0.173201	0.482624	0.71969	2.55837	0.692512	0.000220466	0.589523	0.218361	0.00693884	NA	NA	NA	20.0	5.0	8.0	53.0	NA	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
STK38L	3.926713229551995	8.611455107326427e-05	0.967559	0.715213	0.176111	NA	NA	NA	1.0959	0.733668	0.135247	0.367667	0.295979	0.21416	2.70889872077252	0.719558784846649	0.0001667716361832	8.0	NA	6.0	33.0	11.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
NUP210	3.8285691089097145	0.0001288904401297199	0.258292	0.114357	0.0239062	0.165424	0.0915671	0.0708268	0.150043	0.171004	0.380257	0.0610155	0.051529	0.236374	0.219716494616765	0.0902629415717801	0.0149254576408459	119.0	59.0	80.0	324.0	199.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
IPO4	-3.7937243510555576	0.00014840441788219335	-0.490358	0.297671	0.0994934	-0.391247	0.177585	0.0275843	-1.02467	0.464769	0.0274763	-0.229497	0.110742	0.0382318	-0.0559858941421384	0.157479267579732	0.722205463198752	62.0	30.0	44.0	186.0	128.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
IRX6	3.760388880937166	0.00016964942113662177	0.488481	0.31145	0.116786	0.522463	0.364466	0.151714	0.42349	0.405939	0.296839	0.425088	0.139171	0.00225489	0.283929940875569	0.216921171358496	0.190565384718304	39.0	12.0	24.0	90.0	49.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
TRMT12	3.6267540713325945	0.0002870064073582702	0.777248	0.346621	0.0249384	0.78984	0.370821	0.0331734	0.651785	0.44271	0.14095	0.298159	0.17548	0.0892997	0.174548865418295	0.308407551784547	0.571415401452678	17.0	10.0	18.0	58.0	41.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
PUS7L	3.607743981925045	0.00030887104210116197	0.320234	0.141346	0.0234753	0.00491353	0.125202	0.968695	0.4003	0.191545	0.0366315	0.131733	0.0639536	0.0394151	0.170638390279632	0.105812901371595	0.106822182021625	45.0	27.0	28.0	106.0	71.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
EEA1	3.600579957462877	0.00031750816658659823	0.587934	0.125504	2.80507e-06	0.0578216	0.112084	0.605938	0.0738124	0.183825	0.688026	0.0236056	0.062345	0.704963	0.262995525418615	0.127019342380937	0.0384040900142764	50.0	27.0	34.0	149.0	84.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
RP11-548K23.11	3.5159999845321317	0.0004381010097339117	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.679035576719547	0.193127297982598	0.0004381010097339	NA	NA	NA	NA	29.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
P2RY10	3.4554523826124055	0.0005493702200888973	NA	NA	NA	NA	NA	NA	0.958373	0.870173	0.27074	1.62322	0.428812	0.000153462	NA	NA	NA	NA	NA	6.0	15.0	NA	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
OR51I1	3.4458808071922884	0.0005692013594919085	0.216724	0.189876	0.253705	0.104057	0.118341	0.379239	0.32164	0.238816	0.178041	0.144559	0.0797775	0.0699817	0.421587853593874	0.166919867007667	0.011547129402261	20.0	14.0	16.0	52.0	36.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
TMEM9B	3.432244161439095	0.0005986083712114333	2.03195	0.922382	0.027599	NA	NA	NA	1.37041	0.767483	0.0741663	-0.181105	0.444526	0.683706	1.47042130365888	0.44783875571058	0.0010257315461657	5.0	NA	7.0	22.0	18.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
RAP1A	3.408349056398056	0.000653572326391416	1.43945	0.547928	0.00861221	NA	NA	NA	NA	NA	NA	0.758422	0.33466	0.0234364	0.634778918531974	0.62842637265408	0.312443235681033	7.0	NA	NA	15.0	6.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
PTGDR	-3.3791311919737663	0.0007271529917275719	-0.158662	0.175056	0.364753	-0.187093	0.139804	0.180814	-0.588262	0.375086	0.116802	-0.207135	0.108684	0.0566713	-0.334091424413776	0.181850165380666	0.0661833778255633	27.0	15.0	20.0	69.0	38.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
ASPSCR1	3.360453611575345	0.0007781459689300615	0.303396	0.195351	0.120404	0.0650107	0.149067	0.662753	0.198078	0.252967	0.433618	0.24771	0.0829356	0.00281938	0.27140244960989	0.154626802644263	0.0792234611149891	61.0	41.0	42.0	180.0	92.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
TRRAP	3.3484375694918977	0.0008126858832079453	0.152999	0.206398	0.458521	0.0579565	0.254614	0.819938	0.470641	0.213584	0.0275569	0.148676	0.0839438	0.0765381	0.367962852481556	0.144653713810494	0.0109669615330286	116.0	32.0	92.0	372.0	190.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
CGN	3.3468107660963953	0.0008174699369471586	0.170834	0.115734	0.139921	0.199851	0.0978038	0.0410143	0.321567	0.14367	0.0252062	-0.00500513	0.0580235	0.931259	0.219071122804817	0.120883851236264	0.0699483898157882	94.0	46.0	62.0	231.0	132.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
ATP1A1-AS1	3.343134360831769	0.0008283778051649516	1.28723	0.654757	0.0493026	NA	NA	NA	NA	NA	NA	0.994094	0.359926	0.00574592	NA	NA	NA	10.0	NA	NA	27.0	NA	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
RNF114	3.3116492862862064	0.0009274773954055976	0.520745	0.262857	0.0475803	0.268103	0.194885	0.168915	0.098619	0.452777	0.827578	0.0224801	0.128974	0.86163	0.759777852904681	0.207807061135968	0.0002560120421331	14.0	9.0	10.0	36.0	23.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
REXO4	3.297284970766505	0.0009762439511398626	0.546928	0.208794	0.00880674	0.0936245	0.17039	0.582681	0.35958	0.277702	0.195374	0.138154	0.0984776	0.160647	0.25817524850734	0.171399201791334	0.13199522202275	21.0	12.0	15.0	60.0	42.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
VIT	3.2788527394054805	0.0010423001085506567	0.341976	0.176635	0.0528601	0.378216	0.145513	0.00934457	0.51719	0.221751	0.0196849	0.0291548	0.0837268	0.72768	0.016483730350234	0.142134442960423	0.907674093058176	55.0	27.0	40.0	152.0	91.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
 
COHORT: GNE_AMP_NIH_UKB_CASE_PROXIES_META; VARIANT GROUP: ALL_LOF_HC_LOFTEE; MAF: 0.001; NUMVAR >= 4
GENE	TEST_STAT_WEIGHTEDZ	META_PVAL	UKB_CASE_BETA	UKB_CASE_SE	UKB_CASE_PVAL	AMP_NIH_BETA	AMP_NIH_SE	AMP_NIH_PVAL	UKB_SIBLING_PROXY_BETA	UKB_SIBLING_PROXY_SE	UKB_SIBLING_PROXY_PVAL	UKB_PARENT_PROXY_BETA	UKB_PARENT_PROXY_SE	UKB_PARENT_PROXY_PVAL	GNE_BETA	GNE_SE	GNE_PVAL	UKB_CASE_NUMVAR	AMP_NIH_NUMVAR	UKB_SIBLING_PROXY_NUMVAR	UKB_PARENT_PROXY_NUMVAR	GNE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	NTOTAL	META_ANALYSIS_GROUP
ZSCAN25	3.6809750201690328	0.0002323437694158523	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.23648	0.335911	0.000232348	NA	NA	NA	NA	NA	NA	16.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
TRAPPC3L	3.571326110833633	0.0003551783251896019	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.915604	0.464424	0.0486686	1.93465590208608	0.628311518023376	0.0020760267795094	NA	NA	NA	11.0	4.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
GLIPR2	3.1806096636147028	0.0014696550315069327	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.77409	0.557783	0.00146969	NA	NA	NA	NA	NA	NA	5.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
KIF19	3.1778173590362	0.001483881936339904	0.863902	0.410864	0.0354965	NA	NA	NA	0.471214	0.662112	0.476661	0.544006	0.230051	0.0180441	0.585036417332245	0.497232486373117	0.239361081394202	12.0	NA	9.0	15.0	10.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
RP11-400G3.5	3.112899632413066	0.0018525900862235362	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.43633195258633	0.461412869734226	0.0018525900862235	NA	NA	NA	NA	10.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
NOC2L	3.056221764227844	0.0022414540542561086	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.26734113357892	0.414675776611752	0.0022414540542561	NA	NA	NA	NA	15.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
SLC17A1	-3.042402310276703	0.002346979837439067	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.69759772015894	0.557979368614319	0.002346979837439	NA	NA	NA	NA	12.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
CAPN10	3.0319251184535547	0.002429994771146659	3.37192	1.10577	0.00229306	NA	NA	NA	1.63267	1.00436	0.104039	-0.606628	0.528426	0.250972	2.09947867433774	0.827585633303507	0.0111847897236652	4.0	NA	4.0	18.0	6.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
ZNF587B	3.0318646066294477	0.002430481939366744	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.31028989661085	0.762002990357548	0.0024304819393667	NA	NA	NA	NA	7.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
FLYWCH1	3.011608726855907	0.002598673200853717	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.968059	0.395712	0.0144303	0.673856807453204	0.371745062728614	0.0698803743089678	NA	NA	NA	17.0	14.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
