GENE	TEST_STAT_SUMMEDZ	META_PVAL	UKB_ALL_CASES_BETA	UKB_ALL_CASES_SE	UKB_ALL_CASES_PVAL	AMP_NIH_BETA	AMP_NIH_SE	AMP_NIH_PVAL	UKB_ALL_CASES_NUMVAR	AMP_NIH_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
ZFP42	4.790612358363518	1.662730824824621e-06	0.359207	0.135517	0.00803399	0.782598	0.365705	0.0323569	54.0	8.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
MYH14	-4.771714621374508	1.8266419682229353e-06	-0.245739	0.073165	0.000783111	-0.225262	0.159419	0.157651	449.0	57.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
OR4C13	4.735974335818063	2.180051765431756e-06	0.22858	0.134593	0.0894495	1.14244	0.376091	0.0023841	70.0	7.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
LBX2	4.640718797591686	3.471993340941685e-06	0.331965	0.107942	0.00210226	0.426203	0.272279	0.117509	62.0	15.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
CFAP52	-4.635241062685055	3.5652175656436183e-06	-0.365452	0.165489	0.027222	-0.852688	0.351345	0.0152275	93.0	13.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RIPOR2	4.613929493535784	3.951265117284112e-06	0.136822	0.0907394	0.131591	0.698913	0.225015	0.0018959	160.0	28.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
GSTM5	-4.542830052867844	5.550399733971337e-06	-0.208736	0.14127	0.139525	-1.50543	0.491126	0.00217477	52.0	7.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
CELA3B	-4.501999051025683	6.731728238047308e-06	-0.72479	0.198621	0.000263143	-0.38857	0.455593	0.393721	55.0	8.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
SERINC1	-4.46801375374619	7.894923098559962e-06	-0.495716	0.190925	0.00942081	-0.661787	0.35359	0.0612592	58.0	7.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ABHD8	4.458932517979595	8.236884643742989e-06	0.373403	0.185419	0.0440266	1.18211	0.483461	0.0144809	68.0	9.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
DCLK1	-4.453306602146245	8.45578728191869e-06	-1.00741	0.287975	0.000468309	-0.710842	0.744297	0.339552	63.0	3.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ITPK1	-4.40853095640507	1.0407414631752347e-05	-0.430711	0.157572	0.00626776	-0.552757	0.329983	0.0939134	102.0	17.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ARRDC5	4.406677556675184	1.0496826716218448e-05	0.16117	0.139858	0.249165	0.898745	0.276172	0.00113675	75.0	13.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ZNHIT6	4.396289259397617	1.1011716895431804e-05	0.322877	0.167516	0.053925	0.946826	0.383509	0.0135548	63.0	12.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
MYOF	4.3793018825234915	1.190601055976549e-05	0.0557078	0.0697045	0.424174	0.562162	0.157024	0.000343471	347.0	63.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ZNF736	4.366300682276172	1.2636849407967613e-05	0.410941	0.130132	0.00158918	0.375962	0.311118	0.226885	65.0	8.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
SMIM19	4.363488357482865	1.2800475604927296e-05	0.807054	0.293474	0.0059595	1.29623	0.803372	0.106639	20.0	3.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
WNT10B	-4.360297360585985	1.298858159316879e-05	-0.503278	0.212516	0.0178752	-0.851483	0.427428	0.0463594	75.0	9.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ATP9B	-4.350905383336286	1.3557655002540878e-05	-0.124795	0.094419	0.186263	-0.672762	0.222093	0.00245211	243.0	39.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
CEP85L	4.337837944160776	1.4389118477047303e-05	0.328407	0.133286	0.0137426	0.547077	0.291944	0.0609427	145.0	17.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
GPBP1	-4.332794281526777	1.4722866971569126e-05	-0.44203	0.217519	0.0421387	-0.807397	0.350943	0.0214112	65.0	10.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
SEPTIN5	4.332635422768783	1.4733497930976212e-05	0.734077	0.184731	7.07449e-05	0.173201	0.482624	0.71969	63.0	5.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
WDR92	-4.3288693860471215	1.49876784412318e-05	-0.63401	0.272362	0.0199217	-0.887595	0.443565	0.0453871	50.0	6.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ICAM2	4.3175007778125885	1.5780585279136294e-05	0.356638	0.180391	0.0480386	1.63314	0.697782	0.0192591	50.0	6.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
MMS19	4.303438196731449	1.681677745404812e-05	0.187698	0.0908847	0.038901	0.53071	0.237114	0.0252074	186.0	20.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
JUP	-4.293994145591273	1.7548710347863473e-05	-0.372484	0.12574	0.00305306	-0.434828	0.326531	0.182971	167.0	17.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
EVX1	4.28752888104232	1.806717729461985e-05	0.577789	0.156767	0.000228124	0.19671	0.326829	0.547258	82.0	15.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
EVX1-AS	4.28752888104232	1.806717729461985e-05	0.577789	0.156767	0.000228124	0.19671	0.326829	0.547258	82.0	15.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
LCOR	4.2769504305402295	1.8947097095643622e-05	0.190251	0.0897569	0.0340378	0.440899	0.204373	0.0309805	248.0	33.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
SYK	-4.269698915721088	1.9573701577657234e-05	-0.55668	0.211845	0.00859459	-0.882512	0.537485	0.100605	61.0	6.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
DYSF	4.230461705958234	2.332121440846376e-05	0.140671	0.0578572	0.0150425	0.258144	0.143484	0.0720005	457.0	69.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
DGKB	-4.198189747065879	2.69057149581345e-05	-0.290094	0.19336	0.133543	-1.3481	0.499683	0.00697771	95.0	9.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
TMEM135	-4.197459001244062	2.699265035207004e-05	-0.307662	0.179434	0.0864152	-1.59427	0.642117	0.0130343	63.0	12.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
C15orf40	4.181115261229128	2.9008276186107903e-05	0.367759	0.138563	0.00795209	0.754812	0.494303	0.126756	52.0	8.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ZDHHC2	-4.1560090046438	3.2385506513421845e-05	-0.524923	0.212286	0.0134091	-1.04837	0.622809	0.0923194	69.0	8.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
MON1B	-4.155975418289538	3.239026508796439e-05	-0.290859	0.168266	0.0838871	-0.72505	0.298693	0.0152072	126.0	19.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
SEPT5-GP1BB	4.1520738795832735	3.2947585398822395e-05	0.532076	0.140271	0.000148717	0.173201	0.482624	0.71969	105.0	5.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
CPLANE2	-4.148739509258171	3.3431095743896405e-05	-0.325329	0.181684	0.073353	-1.07376	0.455348	0.018368	64.0	11.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
BEAN1	-4.1426472334521565	3.43319821557698e-05	-0.340189	0.214648	0.112995	-0.869665	0.340008	0.0105342	68.0	19.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
P2RY10	4.135326419882734	3.5445044892598045e-05	1.51214	0.365664	3.54451e-05	NA	NA	NA	19.0	NA	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
SDR16C5	-4.122478166948749	3.748181459390976e-05	-0.425907	0.222463	0.0555556	-1.1465	0.519255	0.0272457	57.0	6.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
CD27-AS1	-4.112416292488453	3.9153945581096865e-05	-0.579684	0.272941	0.0336835	-1.43705	0.722654	0.0467491	49.0	6.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
CD27	-4.112416292488453	3.9153945581096865e-05	-0.579684	0.272941	0.0336835	-1.43705	0.722654	0.0467491	49.0	6.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
SLC27A2	4.110720922722466	3.944256928315136e-05	0.334309	0.128278	0.0091572	0.67742	0.450235	0.132429	93.0	10.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
GALR3	-4.102774820479698	4.082245150554492e-05	-0.338327	0.189794	0.0746515	-1.13708	0.490084	0.020332	77.0	7.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
VIT	4.101336764826254	4.1077022986966104e-05	0.139742	0.0994754	0.160083	0.684141	0.25371	0.00700623	170.0	22.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
OR52L1	4.0984507774927	4.159246628108894e-05	0.326338	0.14806	0.0275181	0.986771	0.5209	0.0581775	70.0	7.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ZNF333	4.094000731722204	4.2399297007932326e-05	0.382761	0.122897	0.00184267	0.287609	0.293624	0.327325	103.0	20.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
PROKR1	4.066658887335523	4.769197273617237e-05	0.33876	0.155068	0.0289187	0.744458	0.395553	0.0598263	83.0	13.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
IRS1	4.0652115423858195	4.7988914721486e-05	0.133458	0.0919101	0.146489	0.598584	0.229065	0.00897089	228.0	27.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
MRPL42	4.055550555255779	5.0016352568977136e-05	0.648806	0.202773	0.00137588	0.465214	0.543548	0.392062	35.0	7.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
LOC101928068	-4.026228440449287	5.667862760200645e-05	-0.397949	0.245342	0.104799	-0.98018	0.407693	0.0162074	20.0	7.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
PROSER1	-4.018784299567832	5.849919369555964e-05	-0.394426	0.141959	0.00546187	-0.399658	0.322218	0.214851	156.0	15.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RPL23	-4.0005713597174015	6.318972789808495e-05	-0.64977	0.333111	0.051103	-1.2161	0.593231	0.0403691	20.0	3.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
GPER1	-3.999364288617123	6.351285497271025e-05	-0.453764	0.150988	0.00265313	-0.304042	0.305857	0.320191	92.0	18.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
TINF2	3.997421573610157	6.40361968989871e-05	0.381756	0.155649	0.0141803	0.586152	0.379448	0.122407	45.0	11.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
SMARCD1	-3.997037857498926	6.414004656188571e-05	-0.700789	0.332475	0.0350489	-1.15265	0.610112	0.0588584	39.0	6.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
TXNDC12	-3.993805105212427	6.502131580468911e-05	-0.432086	0.19167	0.0241757	-0.781346	0.449183	0.0819497	94.0	9.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
SEMA4G	-3.991615914144898	6.562459836750158e-05	-0.123588	0.0899711	0.169552	-0.652381	0.249193	0.00884544	201.0	26.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
OR51B2	3.9895083164124987	6.621039796838675e-05	0.331172	0.137007	0.0156407	0.644012	0.409594	0.115876	54.0	9.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
KIF3C	3.988974982633677	6.635941894650887e-05	0.2821	0.137351	0.0399885	0.663796	0.343027	0.0529764	112.0	16.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
COG5	-3.9874593133578395	6.678465299936898e-05	-0.259128	0.114226	0.0232957	-0.485556	0.28248	0.0856322	187.0	17.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
GAREM2	3.9734564447640173	7.083711639851176e-05	0.225745	0.101471	0.0260998	0.517574	0.295971	0.0803371	163.0	15.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
GPN1	-3.964534436447597	7.353933062988976e-05	-0.416814	0.186023	0.0250482	-0.773498	0.448697	0.0847303	89.0	13.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
LGR6	3.9522628134175064	7.741564832862374e-05	0.0534539	0.112675	0.635208	0.956744	0.275096	0.000505443	190.0	20.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
KRTAP21-3	3.945410531924172	7.966337335288866e-05	0.579809	0.234368	0.0133637	0.639525	0.434612	0.14116	10.0	4.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ABCC1	-3.9400728789714483	8.145685924064803e-05	-0.148605	0.0810094	0.066592	-0.402433	0.19112	0.0352345	299.0	38.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
TRAPPC6B	3.9356421055130824	8.297454878592149e-05	0.534581	0.212547	0.0118991	0.608241	0.428181	0.155455	27.0	3.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
FOXS1	-3.929134730318055	8.525206687003241e-05	-0.35961	0.148859	0.0157015	-0.452125	0.298756	0.130189	67.0	15.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
FAM163B	3.928958809875187	8.531444979177115e-05	0.470697	0.180332	0.00904981	0.875654	0.663983	0.187239	58.0	4.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
FAM214B	-3.9237232420468775	8.719089430799166e-05	-0.295846	0.14678	0.0438447	-0.602353	0.315674	0.0563723	108.0	20.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
PJVK	-3.915783387660886	9.01111277778227e-05	-0.941662	0.313794	0.00269192	-0.522261	0.570845	0.360249	46.0	4.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
TMEM205	3.9154302354254678	9.024313740793054e-05	0.457468	0.210461	0.0297318	0.903785	0.518885	0.0815463	41.0	5.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
DPYSL4	3.914676753865117	9.052540255811718e-05	0.168597	0.114511	0.140934	0.732753	0.300019	0.0145918	150.0	18.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
CCDC69	3.9132471761569216	9.106323678519599e-05	0.351926	0.135558	0.00942819	0.390498	0.296479	0.1878	70.0	17.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
SCG3	3.9063249364340136	9.37104787325486e-05	0.461239	0.161768	0.00435481	0.36745	0.348265	0.291386	55.0	11.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
SLC43A1	-3.900856369366231	9.585301070628816e-05	-0.169168	0.141618	0.232267	-1.072	0.39611	0.0068031	118.0	18.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
PPP2R1B	3.8994850645147023	9.639748310014748e-05	0.30457	0.138825	0.0282418	0.886019	0.519485	0.088088	106.0	8.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
KIAA0319	3.8934143675111708	9.884310375023269e-05	0.178166	0.10142	0.0789665	0.581443	0.272122	0.0326223	174.0	25.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
DAND5	3.8706403405300076	0.00010854984380609133	0.556056	0.213183	0.00909811	0.810053	0.641733	0.206845	43.0	5.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
C11orf71	-3.8659523477557665	0.00011065654418293852	-0.711697	0.396979	0.0730075	-1.73623	0.837476	0.0381559	28.0	3.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ARSB	3.864549174763325	0.0001112945674303016	0.180015	0.14361	0.210024	0.936991	0.358856	0.00902647	103.0	14.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
